strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5
300.0,0.0,0.0,0.0,0,0,0.98975,-0.00098,,,,,,
305.0,0.0,0.0,0.0,0,0,0.98944,-0.00103,,,,,,
310.0,0.0,0.0,0.0,0,0,0.98911,-0.00113,,,,,,
315.0,0.0,0.0,0.0,0,0,0.98878,-0.00126,,,,,,
320.0,0.0,0.0,0.0,0,0,0.98844,-0.00138,,,,,,
325.0,0.0,0.0,0.0,0,0,0.98809,-0.00151,,,,,,
330.0,0.0,0.0,0.0,0,0,0.98773,-0.00165,,,,,,
335.0,0.0,0.0,0.0,0,0,0.98737,-0.00178,,,,,,
340.0,0.0,0.0,0.0,0,0,0.98699,-0.00192,,,,,,
345.0,0.0,0.0,0.0,0,0,0.98661,-0.00206,,,,,,
350.0,0.0,0.0,0.0,0,0,0.98622,-0.00221,,,,,,
355.0,0.0,0.0,0.0,0,0,0.98582,-0.00236,,,,,,
360.0,0.0,0.0,0.0,0,0,0.98541,-0.00251,,,,,,
365.0,0.0,0.0,0.0,0,0,0.98498,-0.00266,,,,,,
370.0,0.0,0.0,0.0,0,0,0.98455,-0.00283,,,,,,
375.0,0.0,0.0,0.0,0,0,0.98411,-0.003,,,,,,
380.0,0.0,0.0,0.0,0,0,0.98365,-0.00321,,,,,,
385.0,0.0,0.0,0.0,0,0,0.98317,-0.00342,,,,,,
390.0,0.0,0.0,0.0,0,0,0.98257,-0.00364,,,,,,
395.0,0.0,0.0,0.0,0,0,0.98177,-0.00387,,,,,,
400.0,0.0,0.0,0.0,0,0,0.98091,-0.0041,,,,,,
405.0,0.0,0.0,0.0,0,0,0.98003,-0.00435,,,,,,
410.0,0.0,0.0,0.0,0,0,0.97913,-0.00463,,,,,,
415.0,0.0,0.0,0.0,0,0,0.9782,-0.00491,,,,,,
420.0,0.0,-0.4714,-0.4714,0,94,0.97725,-0.00522,,,,,,
425.0,0.0,0.0,0.0,0,0,0.97628,-0.00559,,,,,,
430.0,0.0,-2.0362,-2.0362,0,350,0.97527,-0.00598,,,,,,
435.0,0.0,-0.8286,-0.8286,0,132,0.97425,-0.00642,,,,,,
440.0,0.0,-1.2448,-1.2448,0,184,0.97319,-0.00687,,,,,,
445.0,0.0,-0.2911,-0.2911,0,40,0.97211,-0.00734,,,,,,
450.0,0.0,-86.9697,-86.9697,0,11127,0.97099,-0.00782,,,,,,
455.0,0.0,-0.6206,-0.6206,0,74,0.96984,-0.00833,,,,,,
460.0,0.0,-10.8802,-10.8802,0,1208,0.96866,-0.00887,,,,,,
465.0,0.0,-1.0364,-1.0364,0,107,0.96745,-0.00947,,,,,,
470.0,0.0,-20.6897,-20.6897,0,1988,0.96619,-0.0101,,,,,,
475.0,0.0,-7.75,-7.75,0,694,0.9649,-0.01075,,,,,,
480.0,0.0,-6.261,-6.261,0,523,0.96356,-0.01141,,,,,,
485.0,0.0,-3.9468,-3.9468,0,307,0.96208,-0.01215,,,,,,
490.0,0.0,-32.9473,-32.9473,0,2371,0.96025,-0.01306,,,,,,
495.0,0.0,-2.0874,-2.0874,0,139,0.9583,-0.01403,,,,,,
500.0,0.0,-95.691,-95.691,0,5907,0.9563,-0.01504,,,,,,
505.0,0.128,-5.0779,-4.9499,4,291,0.95423,-0.01607,,,,,,
510.0,0.0,-14.1362,-14.1362,0,752,0.95209,-0.01718,,,,,,
515.0,0.0,-251.9069,-251.9069,0,12403,0.94989,-0.01844,,,,,,
520.0,0.0,-103.0881,-103.0881,0,4700,0.94761,-0.01978,,,,,,
525.0,0.0,-112.6409,-112.6409,0,4753,0.94526,-0.02123,,,,,,
530.0,0.0,-34.0428,-34.0428,0,1324,0.94282,-0.02293,,,,,,
535.0,0.0,-20.2386,-20.2386,0,726,0.94029,-0.02474,,,,,,
540.0,0.0,-260.8381,-260.8381,0,8642,0.93767,-0.02662,,,,,,
545.0,0.0,-31.8652,-31.8652,0,975,0.93495,-0.02865,,,,,,
550.0,0.0,-304.7629,-304.7629,0,8613,0.93212,-0.03082,,,,,,
555.0,0.0,-23.7707,-23.7707,0,620,0.92913,-0.03318,,,,,,
560.0,10.9319,-116.7274,-105.7955,188,2798,0.92585,-0.03599,,,,,,
565.0,0.0,-35.4583,-35.4583,0,781,0.9222,-0.03905,,,,,,
570.0,4.6435,-68.5239,-63.8804,71,1388,0.91814,-0.0423,,,,,,
575.0,0.0,-288.1669,-288.1669,0,5365,0.91385,-0.04587,,,,,,
580.0,0.0,-231.0387,-231.0387,0,3949,0.90939,-0.04985,,,,,,
585.0,0.0,-245.803,-245.803,0,3860,0.90473,-0.05408,,,,,,
590.0,23.909,-269.1624,-245.2534,287,3883,0.89986,-0.05868,,,,,,
595.0,0.0,-647.8628,-647.8628,0,8566,0.89475,-0.06401,,,,,,
600.0,48.0352,-1112.4283,-1064.3931,509,13485,0.88938,-0.06978,,,,,,
605.0,0.0,-267.1808,-267.1808,0,2968,0.88373,-0.0762,,,,,,
610.0,29.8386,-585.3459,-555.5073,278,5962,0.87772,-0.0831,,,,,,
615.0,60.0051,-197.3926,-137.3875,523,1842,0.87064,-0.0909,,,,,,
620.0,35.3744,-2089.9367,-2054.5623,288,17867,0.86098,-0.09958,,,,,,
625.0,0.0,-1987.8857,-1987.8857,0,15582,0.85043,-0.10887,88.5,89.34,3.95,4.01,,3.8
630.0,88.2877,-715.209,-626.9213,628,5140,0.83947,-0.11928,83.92,84.7,4.32,4.39,0.31,3.75
635.0,35.3381,-307.0925,-271.7544,235,2024,0.82799,-0.13103,79.35,80.17,4.74,4.81,0.35,3.68
640.0,44.2381,-1798.8563,-1754.6182,275,10883,0.81579,-0.14403,74.87,75.67,5.2,5.29,0.39,3.71
645.0,54.5756,-173.2223,-118.6467,317,963,0.80288,-0.15809,70.41,71.16,5.72,5.81,0.43,3.83
650.0,248.4855,-4994.9344,-4746.4489,1349,25557,0.78872,-0.17408,66.02,66.58,6.3,6.4,0.49,3.57
651.0,0.0,-35.5626,-35.5626,0,179,0.78564,-0.17744,65.17,65.92,6.42,6.54,,3.59
652.0,0.0,-25.6476,-25.6476,0,127,0.78252,-0.18084,64.31,65.05,6.55,6.66,,3.72
653.0,1.9167,-23.8109,-21.8942,10,116,0.77936,-0.1843,63.43,64.16,6.68,6.79,,3.54
654.0,0.0,-42.1414,-42.1414,0,202,0.77618,-0.18783,62.58,63.32,6.81,6.93,,3.69
655.0,0.0,-416.611,-416.611,0,1965,0.77297,-0.19142,61.73,62.45,6.95,7.06,0.55,3.54
656.0,6.3832,-40.0717,-33.6885,32,186,0.7697,-0.19511,60.88,61.58,7.09,7.21,0.55,3.53
657.0,0.0,-15.7602,-15.7602,0,72,0.76634,-0.19889,60.02,60.59,7.23,7.35,0.57,3.51
658.0,0.0,-28.9088,-28.9088,0,130,0.76287,-0.20274,59.18,59.89,7.38,7.5,0.59,3.5
659.0,0.0,-31.1732,-31.1732,0,138,0.75935,-0.20667,58.33,58.89,7.53,7.65,0.6,3.48
660.0,208.0178,-3172.939,-2964.9212,990,13828,0.75579,-0.21063,57.48,58.19,7.7,7.8,0.64,3.46
661.0,0.0,-24.9385,-24.9385,0,107,0.7522,-0.21465,56.65,57.35,7.84,7.96,0.63,3.45
662.0,0.0,-347.0122,-347.0122,0,1466,0.74858,-0.21875,55.82,56.51,8,8.12,0.65,3.56
663.0,0.0,-98.7845,-98.7845,0,411,0.74491,-0.22297,54.99,55.68,8.16,8.29,0.66,3.56
664.0,0.0,-19.0347,-19.0347,0,78,0.74121,-0.22726,54.16,54.85,8.33,8.46,0.68,3.41
665.0,109.0057,-1056.1964,-947.1907,486,4263,0.73746,-0.2316,53.33,54.02,8.5,8.63,0.7,3.52
666.0,0.0,-70.676,-70.676,0,281,0.73365,-0.23601,52.51,53.2,8.68,8.8,0.72,3.37
667.0,0.0,-51.8225,-51.8225,0,203,0.72969,-0.24053,51.63,52.26,8.85,8.99,0.73,3.44
668.0,0.0,-39.8947,-39.8947,0,154,0.72555,-0.24514,50.89,51.43,9.04,9.17,0.75,3.35
669.0,0.0,-22.6065,-22.6065,0,86,0.72134,-0.24983,50.08,50.75,9.22,9.36,0.76,3.33
670.0,0.0,-6648.128,-6648.128,0,24928,0.7171,-0.25459,49.28,49.81,9.42,9.54,0.79,3.4
