strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5
300.0,0.0,0.0,0.0,0,0,0.9957,-0.00039,,,,,,
305.0,0.0,0.0,0.0,0,0,0.99556,-0.0004,,,,,,
310.0,0.0,0.0,0.0,0,0,0.99543,-0.00042,,,,,,
315.0,0.0,0.0,0.0,0,0,0.99529,-0.00044,,,,,,
320.0,0.0,0.0,0.0,0,0,0.99515,-0.00048,,,,,,
325.0,0.0,0.0,0.0,0,0,0.99501,-0.00052,,,,,,
330.0,0.0,0.0,0.0,0,0,0.99486,-0.00057,,,,,,
335.0,0.0,0.0,0.0,0,0,0.99471,-0.00062,,,,,,
340.0,0.0,0.0,0.0,0,0,0.99456,-0.00067,,,,,,
345.0,0.0,0.0,0.0,0,0,0.9944,-0.00072,,,,,,
350.0,0.0,0.0,0.0,0,0,0.99424,-0.00077,,,,,,
355.0,0.0,0.0,0.0,0,0,0.99408,-0.00082,,,,,,
360.0,0.0,0.0,0.0,0,0,0.99391,-0.00088,,,,,,
365.0,0.0,0.0,0.0,0,0,0.99374,-0.00094,,,,,,
370.0,0.0,0.0,0.0,0,0,0.99356,-0.001,,,,,,
375.0,0.0,0.0,0.0,0,0,0.99338,-0.00107,,,,,,
380.0,0.0,0.0,0.0,0,0,0.9932,-0.00114,,,,,,
385.0,0.0,0.0,0.0,0,0,0.99301,-0.00121,,,,,,
390.0,0.0,0.0,0.0,0,0,0.9928,-0.00129,,,,,,
395.0,0.0,0.0,0.0,0,0,0.99255,-0.00138,,,,,,
400.0,0.0,0.0,0.0,0,0,0.99229,-0.00149,,,,,,
405.0,0.0,0.0,0.0,0,0,0.99202,-0.00159,,,,,,
410.0,0.0,0.0,0.0,0,0,0.99174,-0.0017,,,,,,
415.0,0.0,0.0,0.0,0,0,0.99145,-0.00181,,,,,,
420.0,0.0,0.0,0.0,0,0,0.99116,-0.00193,,,,,,
425.0,0.0,0.0,0.0,0,0,0.99086,-0.00207,,,,,,
430.0,0.0,0.0,0.0,0,0,0.99055,-0.00222,,,,,,
435.0,0.0,0.0,0.0,0,0,0.99024,-0.00237,,,,,,
440.0,0.0,0.0,0.0,0,0,0.98992,-0.00256,,,,,,
445.0,0.0,0.0,0.0,0,0,0.98958,-0.00277,,,,,,
450.0,0.0,0.0,0.0,0,0,0.98919,-0.00299,,,,,,
455.0,0.0,0.0,0.0,0,0,0.98866,-0.00322,,,,,,
460.0,0.0,0.0,0.0,0,0,0.98808,-0.00345,,,,,,
465.0,0.0,0.0,0.0,0,0,0.98749,-0.00368,,,,,,
470.0,0.0,0.0,0.0,0,0,0.98688,-0.00392,,,,,,
475.0,0.0,0.0,0.0,0,0,0.98614,-0.00417,,,,,,
480.0,0.0,0.0,0.0,0,0,0.98511,-0.00443,,,,,,
485.0,0.0,0.0,0.0,0,0,0.98398,-0.00473,,,,,,
490.0,0.0,0.0,0.0,0,0,0.98284,-0.00509,,,,,,
495.0,0.0,-1.2428,-1.2428,0,183,0.98167,-0.00548,,,,,,
500.0,0.0,-27.3429,-27.3429,0,3732,0.98048,-0.00588,,,,,,
505.0,0.0,-3.4236,-3.4236,0,434,0.97927,-0.00628,,,,,,
510.0,0.0,-12.5399,-12.5399,0,1479,0.97802,-0.0067,,,,,,
515.0,0.0,-3.0392,-3.0392,0,334,0.97675,-0.00713,,,,,,
520.0,0.0,-8.4172,-8.4172,0,863,0.97544,-0.00758,,,,,,
525.0,0.0,-3151.5923,-3151.5923,0,301521,0.9741,-0.00804,,,,,,
530.0,0.0,-9.2099,-9.2099,0,819,0.97273,-0.00859,,,,,,
535.0,0.0,-5.3155,-5.3155,0,437,0.97132,-0.00923,,,,,,
540.0,0.0,-69.2914,-69.2914,0,5270,0.96986,-0.00992,,,,,,
545.0,0.0,-10.1571,-10.1571,0,716,0.96837,-0.01063,,,,,,
550.0,0.0,-230.1234,-230.1234,0,15059,0.96683,-0.01135,,,,,,
555.0,0.0,-4.3411,-4.3411,0,264,0.96524,-0.01211,,,,,,
560.0,0.0,-6.4388,-6.4388,0,364,0.9636,-0.01291,,,,,,
565.0,0.0,-16.2038,-16.2038,0,851,0.96191,-0.01377,,,,,,
570.0,0.0,-18.783,-18.783,0,913,0.96016,-0.01476,,,,,,
575.0,0.0,-16.343,-16.343,0,735,0.95835,-0.01583,,,,,,
580.0,0.0,-36.8021,-36.8021,0,1533,0.95647,-0.01694,,,,,,
585.0,0.0,-43.4215,-43.4215,0,1675,0.95453,-0.01813,,,,,,
590.0,0.0,-89.877,-89.877,0,3203,0.95251,-0.01947,,,,,,
595.0,0.0,-48.5753,-48.5753,0,1600,0.95041,-0.02088,,,,,,
600.0,13.9708,-413.7054,-399.7346,268,12603,0.94823,-0.02236,,,,,,
605.0,0.0,-76.4776,-76.4776,0,2152,0.94595,-0.02398,,,,,,
610.0,2.5702,-109.4773,-106.9071,44,2840,0.94358,-0.02579,,,,,,
615.0,0.0,-39.5273,-39.5273,0,945,0.94103,-0.02773,,,,,,
620.0,29.5232,-146.545,-117.0218,449,3224,0.93819,-0.02988,,,,,,
625.0,16.2835,-7721.3605,-7705.077,233,156346,0.93518,-0.03216,,,,,,
630.0,0.0,-2236.8601,-2236.8601,0,41659,0.93203,-0.03464,,,,,,
635.0,0.0,-70.736,-70.736,0,1209,0.92872,-0.03741,,,,,,
640.0,0.0,-341.9384,-341.9384,0,5355,0.92525,-0.0405,,,,,,
