strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5
50.0,0.0,0.0,0.0,0,0,0.9974,-0.00034,303.25,310.7,0.01,0.02,,-2.55
55.0,0.0,0.0,0.0,0,0,0.99688,-0.00039,298.65,305.8,0,0.1,-0.02,-2.15
60.0,0.0,0.0,0.0,0,0,0.99633,-0.00045,293.75,300.8,0,0.03,-0.1,-2.1
65.0,0.0,0.0,0.0,0,0,0.99569,-0.00051,288.95,295.85,0,0.08,-0.03,-1.95
70.0,0.0,0.0,0.0,0,0,0.99516,-0.00058,283.85,290.9,0,0.04,-0.08,-2.05
75.0,0.0,0.0,0.0,0,0,0.99472,-0.00062,278.5,285.9,0,0.1,-0.04,-2.45
80.0,0.0,0.0,0.0,0,0,0.99388,-0.00072,273.7,280.95,0,0.05,-0.1,-2.3
85.0,0.0,0.0,0.0,0,0,0.9932,-0.00079,268.95,276,0,0.1,-0.05,-2.05
90.0,0.0,0.0,0.0,0,0,0.99308,-0.00087,263.4,271,0,0.07,-0.1,-2.8
95.0,0.0,0.0,0.0,0,0,0.99175,-0.00095,258.95,266.2,0,0.1,-0.07,-2.3
100.0,0.0,0.0,0.0,0,0,0.99098,-0.00104,253.85,261.25,0,0.09,-0.1,-2.4
105.0,0.0,0.0,0.0,0,0,0.99017,-0.00114,249.1,256.25,0,0.1,-0.09,-2.05
110.0,0.0,0.0,0.0,0,0,0.98934,-0.00117,243.7,251.15,0,0.15,-0.1,-2.45
115.0,0.0,0.0,0.0,0,0,0.98846,-0.00136,239.15,246.15,0,0.15,-0.15,-0.7
120.0,0.0,0.0,0.0,0,0,0.98914,-0.00148,236.05,239.85,0.02,0.12,-0.13,1.4
125.0,0.0,0.0,0.0,0,0,0.98661,-0.0016,231.3,234.65,0.01,0.15,-0.11,1.6
130.0,0.0,0.0,0.0,0,0,0.98562,-0.00174,226.35,229.7,0.02,0.13,-0.13,1.6
135.0,0.0,0.0,0.0,0,0,0.9846,-0.00189,221.4,224.75,0.05,0.15,-0.08,1.6
140.0,0.0,0.0,0.0,0,0,0.98353,-0.00205,216.4,219.8,0.05,0.11,-0.1,1.55
145.0,0.0,0.0,0.0,0,0,0.98242,-0.00225,211.45,214.85,0.05,0.11,-0.06,1.65
150.0,0.0,0.0,0.0,0,0,0.98126,-0.00263,206.55,209.8,0.1,0.14,-0.01,1.65
155.0,0.0,0.0,0.0,0,0,0.98309,-0.00306,201.1,204.9,0.06,0.19,-0.08,1.15
160.0,0.0,0.0,0.0,0,0,0.97878,-0.00351,196.6,199.95,0.11,0.16,-0.08,1.6
165.0,0.0,0.0,0.0,0,0,0.98074,-0.00398,191.65,195,0.1,0.2,-0.06,1.6
170.0,0.0,0.0,0.0,0,0,0.97609,-0.00447,186.7,190.05,0.13,0.19,-0.07,1.6
175.0,0.0,0.0,0.0,0,0,0.97465,-0.00499,181.75,185.1,0.14,0.22,-0.05,1.6
180.0,0.0,-0.4844,-0.4844,0,245,0.97554,-0.00553,176.8,180.15,0.17,0.22,-0.05,1.6
185.0,0.0,0.0,0.0,0,0,0.97157,-0.00618,171.85,175.2,0.2,0.23,-0.02,1.65
190.0,0.0,-0.84,-0.84,0,332,0.97155,-0.00687,166.95,170.2,0.22,0.25,-0.01,1.7
195.0,0.0,-0.8247,-0.8247,0,290,0.96819,-0.0076,162,165.25,0.24,0.27,-0.01,1.8
200.0,0.0,-8.514,-8.514,0,2668,0.96638,-0.00839,156.8,160.2,0.26,0.29,-0.01,1.4
205.0,0.0,-0.7367,-0.7367,0,205,0.96486,-0.0093,152.1,155.4,0.28,0.32,-0.01,1.7
210.0,0.0,-4.4539,-4.4539,0,1101,0.96195,-0.0103,147.2,150.4,0.31,0.34,-0.01,1.75
215.0,0.0,-2.3514,-2.3514,0,516,0.95931,-0.01143,142.25,145.45,0.34,0.37,0,1.85
220.0,5.6297,-6.0743,-0.4446,531,1186,0.95652,-0.01266,136.9,140.4,0.37,0.4,0,1.4
225.0,0.0,-4.2696,-4.2696,0,732,0.95359,-0.01423,132.45,135.5,0.41,0.44,0.01,1.95
230.0,1.6503,-2.2874,-0.6371,133,344,0.95129,-0.01606,126.35,130.5,0.46,0.49,0.02,0.9
235.0,0.0,-9.3719,-9.3719,0,1238,0.94724,-0.01809,121.3,125.45,0.51,0.54,0.02,0.7
240.0,0.0,-21.1801,-21.1801,0,2446,0.94379,-0.02053,116.55,120.6,0.57,0.61,0.03,1.45
245.0,0.7407,-8.5678,-7.8271,46,863,0.94013,-0.0234,112.7,115.1,0.65,0.68,0.04,2.25
250.0,3.8091,-40.7068,-36.8977,217,3568,0.93606,-0.02679,107.7,110.45,0.74,0.77,0.06,2.2
