strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
300.0,0.0,0.0,0.0,0,0,0.99969,-0.00039,,,,,,,Regular,0.7542,0.7706
305.0,0.0,0.0,0.0,0,0,0.99953,-0.0004,,,,,,,Regular,0.77,0.7586
310.0,0.0,0.0,0.0,0,0,0.99936,-0.00042,,,,,,,Regular,0.7775,0.7467
315.0,0.0,0.0,0.0,0,0,1.0,-0.00043,,,,,,,Regular,0.5037,0.735
320.0,0.0,0.0,0.0,0,0,0.99904,-0.00045,,,,,,,Regular,0.7806,0.724
325.0,0.0,0.0,0.0,0,0,0.99888,-0.00048,,,,,,,Regular,0.7788,0.7157
330.0,0.0,0.0,0.0,0,0,0.99871,-0.00052,,,,,,,Regular,0.7762,0.7078
335.0,0.0,0.0,0.0,0,0,0.9985,-0.00057,,,,,,,Regular,0.7744,0.6994
340.0,0.0,0.0,0.0,0,0,0.99998,-0.00061,,,,,,,Regular,0.5404,0.6911
345.0,0.0,0.0,0.0,0,0,0.99807,-0.00065,,,,,,,Regular,0.7678,0.6826
350.0,0.0,0.0,0.0,0,0,0.99785,-0.0007,,,,,,,Regular,0.7631,0.6743
355.0,0.0,0.0,0.0,0,0,0.99763,-0.00075,,,,,,,Regular,0.7577,0.6664
360.0,0.0,0.0,0.0,0,0,0.99741,-0.00081,,,,,,,Regular,0.7518,0.6585
365.0,0.0,0.0,0.0,0,0,0.99718,-0.00086,,,,,,,Regular,0.7454,0.6505
370.0,0.0,0.0,0.0,0,0,0.99695,-0.00093,,,,,,,Regular,0.7386,0.6424
375.0,0.0,0.0,0.0,0,0,0.99862,-0.00099,,,,,,,Regular,0.6578,0.6343
380.0,0.0,0.0,0.0,0,0,0.99647,-0.00105,,,,,,,Regular,0.7241,0.626
385.0,0.0,0.0,0.0,0,0,0.9982,-0.00112,,,,,,,Regular,0.6517,0.6178
390.0,0.0,0.0,0.0,0,0,0.99597,-0.00117,,,,,,,Regular,0.7087,0.6088
395.0,0.0,0.0,0.0,0,0,0.99572,-0.00128,,,,,,,Regular,0.7007,0.6026
400.0,0.0,0.0,0.0,0,0,0.99545,-0.00136,,,,,,,Regular,0.6925,0.5948
405.0,0.0,0.0,0.0,0,0,0.99519,-0.00141,,,,,,,Regular,0.6842,0.5852
410.0,0.0,0.0,0.0,0,0,0.99491,-0.00154,,,,,,,Regular,0.6759,0.5792
415.0,0.0,0.0,0.0,0,0,0.99463,-0.00164,,,,,,,Regular,0.6674,0.5717
420.0,0.0,0.0,0.0,0,0,0.99435,-0.00176,,,,,,,Regular,0.6588,0.5644
425.0,0.0,0.0,0.0,0,0,0.99641,-0.0019,,,,,,,Regular,0.6044,0.5577
430.0,0.0,0.0,0.0,0,0,0.99375,-0.00205,,,,,,,Regular,0.6415,0.5511
435.0,0.0,0.0,0.0,0,0,0.99345,-0.0022,,,,,,,Regular,0.6327,0.5442
440.0,0.0,0.0,0.0,0,0,0.99313,-0.00232,,,,,,,Regular,0.6239,0.5362
445.0,0.0,0.0,0.0,0,0,0.99281,-0.00251,,,,,,,Regular,0.6151,0.5301
450.0,0.0,0.0,0.0,0,0,0.99512,-0.00268,,,,,,,Regular,0.567,0.5228
455.0,0.0,0.0,0.0,0,0,0.99213,-0.00285,,,,,,,Regular,0.5973,0.5157
460.0,0.0,0.0,0.0,0,0,0.99178,-0.00307,,,,,,,Regular,0.5884,0.5092
465.0,0.0,0.0,0.0,0,0,0.99142,-0.00331,,,,,,,Regular,0.5795,0.5028
470.0,0.0,0.0,0.0,0,0,0.99105,-0.00355,,,,,,,Regular,0.5705,0.4961
475.0,0.0,0.0,0.0,0,0,0.99067,-0.00379,,,,,,,Regular,0.5616,0.4894
480.0,0.0,0.0,0.0,0,0,0.99028,-0.00404,,,,,,,Regular,0.5526,0.4824
485.0,0.0,0.0,0.0,0,0,0.99184,-0.00431,,,,,,,Regular,0.5239,0.4755
490.0,0.0,0.0,0.0,0,0,0.98944,-0.00461,,,,,,,Regular,0.5348,0.4688
495.0,0.0,0.0,0.0,0,0,0.99023,-0.00494,,,,,,,Regular,0.515,0.4623
500.0,0.0,-25.2531,-25.2531,0,3738,0.9894,-0.00529,,,,,,,Regular,0.5099,0.4557
505.0,0.0,-3.1577,-3.1577,0,434,0.98755,-0.00566,,,,,,,Regular,0.5123,0.4491
510.0,0.0,-11.6382,-11.6382,0,1480,0.98682,-0.00608,,,,,,,Regular,0.505,0.4428
515.0,0.0,-2.8361,-2.8361,0,334,0.98608,-0.00652,,,,,,,Regular,0.4975,0.4364
520.0,0.0,-7.8515,-7.8515,0,858,0.98532,-0.00698,,,,,,,Regular,0.4899,0.4299
525.0,0.0,-2967.3169,-2967.3169,0,301532,0.98453,-0.00744,,,,,,,Regular,0.4822,0.4233
530.0,0.0,-8.7486,-8.7486,0,823,0.98372,-0.00798,,,,,,,Regular,0.4744,0.4168
535.0,0.0,-5.0295,-5.0295,0,439,0.98303,-0.00854,,,,,,,Regular,0.4658,0.4103
540.0,0.0,-64.9715,-64.9715,0,5270,0.98199,-0.00911,,,,,,,Regular,0.4588,0.4036
545.0,0.0,-9.4906,-9.4906,0,716,0.98083,-0.00971,,,,,,,Regular,0.4521,0.3968
550.0,0.0,-214.7838,-214.7838,0,15062,0.97937,-0.01036,,,,,,,Regular,0.4465,0.3902
555.0,0.0,-4.0622,-4.0622,0,264,0.97781,-0.01108,,,,,,,Regular,0.4409,0.3836
560.0,0.0,-6.0385,-6.0385,0,364,0.97624,-0.01185,,,,,,,Regular,0.435,0.377
565.0,0.0,-15.2326,-15.2326,0,851,0.97459,-0.01267,,,,,,,Regular,0.4287,0.3705
570.0,0.0,-17.6362,-17.6362,0,912,0.9729,-0.01358,,,,,,,Regular,0.4222,0.364
575.0,0.0,-18.4854,-18.4854,0,884,0.97117,-0.01457,,,,,,,Regular,0.4155,0.3576
580.0,0.0,-34.7235,-34.7235,0,1535,0.96938,-0.01563,,,,,,,Regular,0.4085,0.3512
585.0,0.0,-41.0819,-41.0819,0,1681,0.96753,-0.01675,,,,,,,Regular,0.4014,0.3448
590.0,0.0,-84.6553,-84.6553,0,3201,0.96562,-0.01795,,,,,,,Regular,0.3941,0.3382
595.0,0.0,-45.7636,-45.7636,0,1600,0.96367,-0.01925,,,,,,,Regular,0.3867,0.3318
600.0,11.9285,-388.9715,-377.043,268,12580,0.96162,-0.0206,,,,,,,Regular,0.3791,0.3251
605.0,0.0,-72.2138,-72.2138,0,2152,0.95945,-0.02215,,,,,,,Regular,0.3713,0.3186
610.0,2.2291,-103.463,-101.2339,44,2846,0.95726,-0.02376,,,,,,,Regular,0.3634,0.3119
615.0,0.0,-37.1269,-37.1269,0,945,0.94791,-0.02542,,,,,,,Regular,0.3723,0.3054
620.0,27.8219,-142.977,-115.1551,449,3346,0.94467,-0.02741,,,,,,,Regular,0.3652,0.299
625.0,15.4361,-7267.251,-7251.8149,233,156418,0.94129,-0.02952,,,,,,,Regular,0.3579,0.2925
630.0,0.0,-2104.1529,-2104.1529,0,41666,0.93778,-0.03175,,,,,,,Regular,0.3503,0.2859
635.0,0.0,-66.8984,-66.8984,0,1210,0.93412,-0.0345,,,,,,,Regular,0.3426,0.2796
640.0,0.0,-321.837,-321.837,0,5355,0.9303,-0.03711,,,,,,,Regular,0.3346,0.273
645.0,0.0,-680.3123,-680.3123,0,10347,0.93659,-0.04027,,,,,,,Regular,0.3081,0.2668
650.0,28.5592,-1832.7262,-1804.167,308,25487,0.92211,-0.04364,,,,,,,Regular,0.3181,0.2604
655.0,3.2779,-681.8209,-678.543,33,8659,0.91769,-0.04736,,,,,,,Regular,0.3096,0.2539
660.0,0.0,-430.9891,-430.9891,0,4973,0.91304,-0.05175,,,,,,,Regular,0.3009,0.2477
665.0,0.0,-192.0006,-192.0006,0,2021,0.9081,-0.05628,,,,,,,Regular,0.292,0.2414
670.0,58.2726,-416.0039,-357.7313,486,3978,0.91143,-0.06153,,,,,,,Regular,0.271,0.2352
675.0,0.0,-715.1089,-715.1089,0,6208,0.89593,-0.06727,93.18,96.26,2.02,2.03,,1.6,Regular,0.2756,0.2288
680.0,354.3587,-5359.1551,-5004.7964,2472,42136,0.88877,-0.07387,88.3,91.58,2.19,2.21,0.16,1.51,Regular,0.2677,0.2227
685.0,0.0,-262.3948,-262.3948,0,1867,0.88117,-0.08117,83.52,86.79,2.38,2.4,0.17,1.59,Regular,0.2595,0.2165
690.0,198.6244,-1507.4159,-1308.7915,1183,9688,0.8728,-0.08953,78.76,81.93,2.6,2.61,0.2,1.5,Regular,0.2512,0.2105
695.0,188.4289,-604.8589,-416.43,1034,3500,0.86275,-0.09911,74.11,77.26,2.84,2.86,0.23,1.6,Regular,0.244,0.2043
700.0,190.0699,-4893.784,-4703.7141,960,25521,0.85112,-0.1098,69.38,72.51,3.11,3.13,0.25,1.56,Regular,0.2372,0.1983
701.0,0.0,-267.409,-267.409,0,1369,0.8552,-0.11177,68.6,71.58,3.17,3.19,,1.76,Regular,0.2286,0.1971
702.0,0.0,-78.984,-78.984,0,396,0.8456,-0.11409,67.4,70.63,3.23,3.25,,1.49,Regular,0.2351,0.1959
703.0,0.0,-127.29,-127.29,0,625,0.8428,-0.11644,66.58,69.67,3.29,3.32,,1.54,Regular,0.234,0.1947
704.0,0.0,-221.8398,-221.8398,0,1064,0.84597,-0.11928,65.68,68.74,3.36,3.38,,1.56,Regular,0.2262,0.1934
705.0,72.266,-839.2242,-766.9582,336,3951,0.8371,-0.12143,64.89,67.82,3.42,3.45,0.29,1.74,Regular,0.2317,0.1923
706.0,5.0292,-73.9762,-68.947,23,341,0.83421,-0.12406,63.68,66.84,3.49,3.51,0.3,1.41,Regular,0.2305,0.1911
707.0,0.0,-137.4712,-137.4712,0,619,0.83129,-0.12707,62.75,65.91,3.56,3.58,0.31,2.64,Regular,0.2293,0.1898
708.0,0.0,-97.7544,-97.7544,0,432,0.83322,-0.12941,62.17,65.04,3.63,3.65,0.31,1.68,Regular,0.2227,0.1887
709.0,0.0,-257.2202,-257.2202,0,1113,0.82536,-0.13215,61.28,64.12,3.7,3.72,0.32,1.83,Regular,0.2268,0.1874
710.0,240.7208,-2735.2093,-2494.4885,1024,11560,0.82668,-0.13543,60.19,63.15,3.78,3.8,0.33,2.81,Regular,0.2207,0.1862
711.0,0.0,-974.2764,-974.2764,0,4041,0.8193,-0.13793,59.47,62.27,3.85,3.87,0.34,1.71,Regular,0.2242,0.185
712.0,0.0,-131.0138,-131.0138,0,532,0.81621,-0.14098,58.26,60.11,3.93,3.95,0.35,2.7,Regular,0.2229,0.1838
713.0,0.4911,-106.4,-105.9089,2,422,0.81309,-0.14448,58.83,60.49,4.01,4.03,0.36,3,Regular,0.2215,0.1826
714.0,0.0,-141.8297,-141.8297,0,552,0.81322,-0.14721,56.7,59.45,4.09,4.12,0.37,1.65,Regular,0.2163,0.1814
715.0,90.3882,-1525.1028,-1434.7146,356,5811,0.80673,-0.15045,55.49,57.38,4.18,4.2,0.38,1.51,Regular,0.2187,0.1802
716.0,4.3894,-161.654,-157.2646,17,603,0.80349,-0.15384,56.11,57.76,4.26,4.29,0.39,2.84,Regular,0.2172,0.1791
717.0,0.0,-177.4443,-177.4443,0,648,0.80276,-0.15731,53.79,55.56,4.35,4.37,0.4,1.42,Regular,0.2126,0.1779
718.0,0.0,-337.6099,-337.6099,0,1207,0.79687,-0.16082,53.18,55.83,4.44,4.47,0.41,1.84,Regular,0.2142,0.1767
719.0,0.0,-128.0,-128.0,0,448,0.79349,-0.16441,53.4,55.05,4.54,4.56,0.42,4.1,Regular,0.2127,0.1755
720.0,129.2991,-3519.276,-3389.9769,465,12059,0.79192,-0.16814,51.38,53.98,4.63,4.66,0.43,1.84,Regular,0.2087,0.1743
721.0,11.526,-159.7779,-148.2519,41,536,0.78659,-0.17194,51.61,53.27,4.74,4.76,0.45,4.07,Regular,0.2095,0.1731
722.0,0.0,-286.8267,-286.8267,0,942,0.78306,-0.17581,50.74,52.37,4.84,4.86,0.47,4.08,Regular,0.2079,0.1719
723.0,0.0,-177.0266,-177.0266,0,568,0.78066,-0.18045,48.81,51.34,4.94,4.97,0.47,3.04,Regular,0.2045,0.1707
724.0,0.0,-85.4456,-85.4456,0,269,0.77584,-0.18397,47.85,49.3,5.05,5.08,0.49,2.95,Regular,0.2046,0.1695
725.0,142.8649,-7567.6908,-7424.8259,474,23328,0.77214,-0.18824,48.08,49.54,5.16,5.19,0.5,2.72,Regular,0.2029,0.1684
726.0,0.0,-445.6103,-445.6103,0,1342,0.76839,-0.19312,46.1,47.54,5.28,5.3,0.52,2.96,Regular,0.2012,0.1671
727.0,0.0,-522.1107,-522.1107,0,1543,0.76489,-0.197,45.27,46.66,5.4,5.42,0.54,1.63,Regular,0.1985,0.166
728.0,3.8154,-447.8098,-443.9944,12,1296,0.76067,-0.20161,44.35,45.77,5.52,5.54,0.55,2.9,Regular,0.1976,0.1648
729.0,0.0,-239.3734,-239.3734,0,677,0.75672,-0.20695,43.52,44.9,5.64,5.67,0.56,2.94,Regular,0.1958,0.1636
730.0,256.1871,-11011.43,-10755.2429,777,30565,0.75268,-0.21117,43.72,45.36,5.77,5.8,0.58,2.6,Regular,0.194,0.1625
731.0,19.1411,-282.4695,-263.3284,57,768,0.74856,-0.21618,42.86,43.14,5.9,5.93,0.6,3.95,Regular,0.1922,0.1613
