strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
205.0,0.0,0.0,0.0,0,0,0.99967,0.0,,,,,,,Regular
210.0,0.0,0.0,0.0,0,0,0.99959,0.0,,,,,,,Regular
215.0,0.0,0.0,0.0,0,0,0.99949,0.0,,,,,,,Regular
220.0,0.0,0.0,0.0,0,0,0.99937,0.0,,,,,,,Regular
225.0,0.0,0.0,0.0,0,0,0.99923,-1E-05,,,,,,,Regular
230.0,0.0,0.0,0.0,0,0,0.99906,-1E-05,,,,,,,Regular
235.0,0.0,0.0,0.0,0,0,0.99887,-1E-05,,,,,,,Regular
240.0,0.0,0.0,0.0,0,0,0.99865,-2E-05,,,,,,,Regular
245.0,0.0,0.0,0.0,0,0,0.99839,-3E-05,,,,,,,Regular
250.0,0.0,0.0,0.0,0,0,0.9981,-4E-05,,,,,,,Regular
255.0,0.0,0.0,0.0,0,0,0.99776,-5E-05,,,,,,,Regular
260.0,0.0,0.0,0.0,0,0,0.99739,-7E-05,,,,,,,Regular
265.0,0.0,0.0,0.0,0,0,0.99696,-9E-05,,,,,,,Regular
270.0,0.0,0.0,0.0,0,0,0.99648,-0.00012,,,,,,,Regular
275.0,0.0,0.0,0.0,0,0,0.99595,-0.00015,,,,,,,Regular
280.0,0.0,0.0,0.0,0,0,0.99535,-0.00019,,,,,,,Regular
285.0,0.0,0.0,0.0,0,0,0.9947,-0.00025,,,,,,,Regular
290.0,0.0,0.0,0.0,0,0,0.99397,-0.00031,,,,,,,Regular
295.0,0.0,0.0,0.0,0,0,0.99375,-0.00034,,,,,,,Regular
300.0,0.0,0.0,0.0,0,0,0.99353,-0.00037,,,,,,,Regular
305.0,0.0,0.0,0.0,0,0,0.9933,-0.0004,,,,,,,Regular
310.0,0.0,0.0,0.0,0,0,0.99306,-0.00043,,,,,,,Regular
315.0,0.1145,0.0,0.1145,29,0,0.99282,-0.00046,,,,,,,Regular
320.0,0.0,0.0,0.0,0,0,0.99257,-0.00049,,,,,,,Regular
325.0,0.0,0.0,0.0,0,0,0.99232,-0.00052,,,,,,,Regular
