strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
300.0,0.5885,0.0,0.5885,198,0,0.9946,-0.00039,,,,,,,Regular
305.0,0.0,0.0,0.0,0,0,0.99438,-0.0004,,,,,,,Regular
310.0,0.0,0.0,0.0,0,0,0.99415,-0.00041,,,,,,,Regular
315.0,0.0,0.0,0.0,0,0,0.99391,-0.00042,,,,,,,Regular
320.0,0.0,0.0,0.0,0,0,0.99368,-0.00044,,,,,,,Regular
325.0,0.0,0.0,0.0,0,0,0.99343,-0.00048,,,,,,,Regular
330.0,0.0,0.0,0.0,0,0,0.99318,-0.00052,,,,,,,Regular
335.0,0.0,0.0,0.0,0,0,0.99292,-0.00057,,,,,,,Regular
340.0,0.0,0.0,0.0,0,0,0.99266,-0.00061,,,,,,,Regular
345.0,0.0,0.0,0.0,0,0,0.9924,-0.00066,,,,,,,Regular
350.0,0.0,0.0,0.0,0,0,0.99212,-0.00071,,,,,,,Regular
355.0,0.0,0.0,0.0,0,0,0.99184,-0.00077,,,,,,,Regular
360.0,0.0,0.0,0.0,0,0,0.99156,-0.00082,,,,,,,Regular
365.0,0.0,0.0,0.0,0,0,0.99127,-0.00088,,,,,,,Regular
370.0,0.0,0.0,0.0,0,0,0.99097,-0.00094,,,,,,,Regular
375.0,0.0,0.0,0.0,0,0,0.99066,-0.001,,,,,,,Regular
380.0,0.0,0.0,0.0,0,0,0.99035,-0.00106,,,,,,,Regular
385.0,0.0,0.0,0.0,0,0,0.99003,-0.00113,,,,,,,Regular
390.0,0.0,0.0,0.0,0,0,0.9897,-0.0012,,,,,,,Regular
395.0,0.0,0.0,0.0,0,0,0.98936,-0.00128,,,,,,,Regular
400.0,0.0,0.0,0.0,0,0,0.98902,-0.00137,,,,,,,Regular
405.0,0.0,0.0,0.0,0,0,0.98867,-0.00145,,,,,,,Regular
410.0,0.0,0.0,0.0,0,0,0.98831,-0.00154,,,,,,,Regular
415.0,0.0,0.0,0.0,0,0,0.98794,-0.00164,,,,,,,Regular
420.0,0.0,0.0,0.0,0,0,0.98756,-0.00174,,,,,,,Regular
425.0,0.0,0.0,0.0,0,0,0.98717,-0.00186,,,,,,,Regular
430.0,0.0,0.0,0.0,0,0,0.98677,-0.00199,,,,,,,Regular
435.0,0.0,0.0,0.0,0,0,0.98636,-0.00214,,,,,,,Regular
440.0,0.0,0.0,0.0,0,0,0.98594,-0.00231,,,,,,,Regular
445.0,0.0,0.0,0.0,0,0,0.98551,-0.00248,,,,,,,Regular
450.0,0.0,0.0,0.0,0,0,0.98507,-0.00265,,,,,,,Regular
455.0,0.0,0.0,0.0,0,0,0.98462,-0.00284,,,,,,,Regular
460.0,0.0,0.0,0.0,0,0,0.98415,-0.00306,,,,,,,Regular
465.0,0.0,0.0,0.0,0,0,0.98364,-0.00329,,,,,,,Regular
470.0,0.0,0.0,0.0,0,0,0.98311,-0.00353,,,,,,,Regular
475.0,0.0,0.0,0.0,0,0,0.98257,-0.00379,,,,,,,Regular
480.0,0.0,0.0,0.0,0,0,0.98202,-0.00408,,,,,,,Regular
485.0,0.0,0.0,0.0,0,0,0.98145,-0.0044,,,,,,,Regular
490.0,0.0,0.0,0.0,0,0,0.98086,-0.00474,,,,,,,Regular
495.0,0.0,-1.1728,-1.1728,0,183,0.98025,-0.00509,,,,,,,Regular
500.0,0.0,-25.7996,-25.7996,0,3732,0.97957,-0.00546,,,,,,,Regular
505.0,0.0,-3.2305,-3.2305,0,434,0.97863,-0.00584,,,,,,,Regular
510.0,0.0,-11.8334,-11.8334,0,1479,0.97762,-0.00622,,,,,,,Regular
515.0,0.0,-2.8719,-2.8719,0,334,0.97657,-0.00663,,,,,,,Regular
520.0,0.0,-7.9593,-7.9593,0,858,0.97549,-0.00711,,,,,,,Regular
525.0,0.0,-3021.2982,-3021.2982,0,301532,0.97439,-0.00763,,,,,,,Regular
530.0,0.0,-8.8936,-8.8936,0,823,0.97325,-0.00817,,,,,,,Regular
535.0,0.0,-5.0844,-5.0844,0,437,0.97207,-0.00873,,,,,,,Regular
540.0,0.0,-65.9497,-65.9497,0,5270,0.97086,-0.00931,,,,,,,Regular
545.0,0.0,-9.6475,-9.6475,0,716,0.96961,-0.00994,,,,,,,Regular
550.0,0.0,-218.9105,-218.9105,0,15062,0.96832,-0.01064,,,,,,,Regular
555.0,0.0,-4.1376,-4.1376,0,264,0.96699,-0.01138,,,,,,,Regular
560.0,0.0,-6.1582,-6.1582,0,364,0.96561,-0.01219,,,,,,,Regular
565.0,0.0,-15.5497,-15.5497,0,851,0.96419,-0.01307,,,,,,,Regular
570.0,0.0,-17.9837,-17.9837,0,912,0.96271,-0.01398,,,,,,,Regular
575.0,0.0,-15.6456,-15.6456,0,735,0.96116,-0.01496,,,,,,,Regular
580.0,0.0,-35.2614,-35.2614,0,1533,0.95938,-0.01604,,,,,,,Regular
585.0,0.0,-41.6051,-41.6051,0,1675,0.95702,-0.01716,,,,,,,Regular
590.0,0.0,-85.8429,-85.8429,0,3201,0.95447,-0.01835,,,,,,,Regular
595.0,0.0,-46.4144,-46.4144,0,1600,0.95183,-0.01967,,,,,,,Regular
600.0,13.7462,-396.9376,-383.1914,268,12603,0.9491,-0.0212,,,,,,,Regular
605.0,0.0,-73.5564,-73.5564,0,2152,0.94628,-0.02282,,,,,,,Regular
610.0,2.5514,-105.2193,-102.6679,44,2840,0.94335,-0.02451,,,,,,,Regular
615.0,0.0,-37.9376,-37.9376,0,945,0.94032,-0.02629,,,,,,,Regular
620.0,29.4326,-140.5415,-111.1089,449,3224,0.93716,-0.02829,,,,,,,Regular
625.0,16.2438,-7416.4357,-7400.1919,233,156346,0.93387,-0.03052,,,,,,,Regular
630.0,0.0,-2151.1181,-2151.1181,0,41659,0.93044,-0.03293,,,,,,,Regular
635.0,0.0,-68.0231,-68.0231,0,1209,0.92686,-0.03556,,,,,,,Regular
640.0,0.0,-328.5018,-328.5018,0,5355,0.92311,-0.03842,,,,,,,Regular
645.0,0.0,-693.3109,-693.3109,0,10345,0.91917,-0.04163,,,,,,,Regular
650.0,28.6789,-1867.1248,-1838.4459,300,25462,0.91504,-0.04519,,,,,,,Regular
655.0,3.3685,-689.9279,-686.5594,33,8596,0.91069,-0.04904,,,,,,,Regular
660.0,0.0,-438.0531,-438.0531,0,4976,0.90583,-0.05339,,,,,,,Regular
665.0,0.0,-195.0424,-195.0424,0,2018,0.89967,-0.05819,,,,,,,Regular
670.0,61.2465,-423.6924,-362.4459,486,3984,0.89294,-0.06365,,,,,,,Regular
675.0,0.0,-726.6583,-726.6583,0,6207,0.88587,-0.06962,93.25,96.51,2.12,2.13,,1.54,Regular
680.0,360.5231,-5360.0906,-4999.5675,2472,41527,0.87841,-0.07633,88.45,91.71,2.29,2.31,0.16,1.56,Regular
685.0,0.0,-224.2673,-224.2673,0,1574,0.87052,-0.08384,83.67,86.89,2.49,2.51,0.18,1.47,Regular
690.0,200.5465,-1465.7697,-1265.2232,1183,9304,0.86213,-0.0924,78.93,82.2,2.72,2.74,0.21,1.45,Regular
695.0,189.4405,-585.8307,-396.3902,1034,3361,0.85318,-0.10187,74.19,77.48,2.97,2.99,0.23,1.4,Regular
700.0,187.5017,-4977.3172,-4789.8155,945,25774,0.84358,-0.11272,69.5,72.79,3.26,3.28,0.27,1.4,Regular
701.0,0.0,-264.9332,-264.9332,0,1344,0.84157,-0.11502,68.57,71.69,3.32,3.34,,1.41,Regular
702.0,0.0,-76.0662,-76.0662,0,378,0.83954,-0.11742,67.64,70.88,3.38,3.4,,1.35,Regular
703.0,0.0,-128.189,-128.189,0,624,0.83747,-0.11986,66.71,69.99,3.45,3.47,,1.34,Regular
704.0,0.0,-220.4097,-220.4097,0,1051,0.83537,-0.12234,65.78,69.06,3.51,3.53,,1.42,Regular
705.0,72.3777,-835.1553,-762.7776,336,3901,0.83324,-0.12484,64.85,68.1,3.58,3.6,0.3,1.32,Regular
706.0,5.0382,-71.2515,-66.2133,23,326,0.83107,-0.12743,63.95,67.16,3.65,3.67,0.31,1.44,Regular
707.0,0.0,-137.4647,-137.4647,0,616,0.82884,-0.13017,63,66.29,3.72,3.74,0.32,1.31,Regular
708.0,0.0,-94.7851,-94.7851,0,416,0.82638,-0.13298,62.08,65.37,3.8,3.82,0.33,1.54,Regular
