strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
50.0,0.0,0.0,0.0,0,0,0.99861,-0.00038,,,,,,,Regular
55.0,0.0,0.0,0.0,0,0,0.99841,-0.00043,,,,,,,Regular
60.0,0.0,0.0,0.0,0,0,0.9982,-0.00049,,,,,,,Regular
65.0,0.0,0.0,0.0,0,0,0.99796,-0.00055,,,,,,,Regular
70.0,0.0,0.0,0.0,0,0,0.9977,-0.00062,,,,,,,Regular
75.0,0.0,0.0,0.0,0,0,0.99742,-0.00068,,,,,,,Regular
80.0,0.0,0.0,0.0,0,0,0.99711,-0.00076,,,,,,,Regular
85.0,0.0,0.0,0.0,0,0,0.99678,-0.00083,,,,,,,Regular
90.0,0.0,0.0,0.0,0,0,0.99641,-0.00091,,,,,,,Regular
95.0,0.0,0.0,0.0,0,0,0.99602,-0.00099,,,,,,,Regular
100.0,0.0,0.0,0.0,0,0,0.99559,-0.00108,,,,,,,Regular
105.0,0.0,0.0,0.0,0,0,0.99513,-0.00117,,,,,,,Regular
110.0,0.0,0.0,0.0,0,0,0.99462,-0.00126,,,,,,,Regular
115.0,0.0,0.0,0.0,0,0,0.99408,-0.00137,,,,,,,Regular
120.0,0.0,0.0,0.0,0,0,0.99349,-0.00147,,,,,,,Regular
125.0,0.0,0.0,0.0,0,0,0.99285,-0.00158,,,,,,,Regular
130.0,0.0,0.0,0.0,0,0,0.99216,-0.0017,,,,,,,Regular
135.0,0.0,0.0,0.0,0,0,0.99142,-0.00182,,,,,,,Regular
140.0,0.0,0.0,0.0,0,0,0.99062,-0.00198,,,,,,,Regular
145.0,0.0,0.0,0.0,0,0,0.98975,-0.00232,,,,,,,Regular
150.0,0.0,0.0,0.0,0,0,0.98882,-0.00273,,,,,,,Regular
155.0,0.0,0.0,0.0,0,0,0.98782,-0.00316,,,,,,,Regular
160.0,0.0,0.0,0.0,0,0,0.98674,-0.0036,,,,,,,Regular
165.0,0.0,0.0,0.0,0,0,0.98558,-0.00407,,,,,,,Regular
170.0,0.0,0.0,0.0,0,0,0.98434,-0.00456,,,,,,,Regular
175.0,0.0,-0.6119,-0.6119,0,341,0.983,-0.00508,,,,,,,Regular
180.0,0.0,-0.4994,-0.4994,0,245,0.98156,-0.00569,,,,,,,Regular
185.0,0.0,-0.766,-0.766,0,331,0.98002,-0.00637,,,,,,,Regular
190.0,0.0,-0.8693,-0.8693,0,332,0.97836,-0.00711,,,,,,,Regular
195.0,0.0,-0.8592,-0.8592,0,290,0.97658,-0.00792,,,,,,,Regular
200.0,0.0,-8.9631,-8.9631,0,2668,0.97467,-0.00886,,,,,,,Regular
205.0,0.2765,-0.7784,-0.5019,38,205,0.97261,-0.00987,,,,,,,Regular
210.0,0.0,-4.7178,-4.7178,0,1101,0.97041,-0.01096,,,,,,,Regular
215.0,0.0,-2.505,-2.505,0,516,0.96807,-0.01224,,,,,,,Regular
220.0,5.1052,-6.5259,-1.4207,531,1186,0.96559,-0.01368,,,,,,,Regular
225.0,0.0,-4.5923,-4.5923,0,732,0.96298,-0.01542,,,,,,,Regular
230.0,1.5365,-2.4616,-0.9251,133,344,0.96022,-0.0174,122.05,125.2,0.48,0.51,,1.85,Regular
