strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType
5.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
10.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
15.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
20.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
25.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
30.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
35.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
40.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
45.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
50.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
60.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular
70.0,0.0,0.0,0.0,0,0,0.99999,-2E-05,,,,,,,Regular
80.0,0.0,0.0,0.0,0,0,0.99996,-9E-05,,,,,,,Regular
90.0,0.0,0.0,0.0,0,0,0.99988,-0.00026,,,,,,,Regular
100.0,0.0,0.0,0.0,0,0,0.99948,-0.00031,,,,,,,Regular
110.0,0.0,0.0,0.0,0,0,0.99902,-0.00037,,,,,,,Regular
115.0,0.0,0.0,0.0,0,0,0.99878,-0.0004,,,,,,,Regular
120.0,0.0,0.0,0.0,0,0,0.99853,-0.00045,,,,,,,Regular
125.0,0.0,0.0,0.0,0,0,0.99827,-0.00052,,,,,,,Regular
130.0,0.0,0.0,0.0,0,0,0.998,-0.00062,,,,,,,Regular
135.0,0.0,0.0,0.0,0,0,0.99772,-0.00071,,,,,,,Regular
140.0,0.0,0.0,0.0,0,0,0.99743,-0.00082,,,,,,,Regular
145.0,0.0,0.0,0.0,0,0,0.99712,-0.00093,,,,,,,Regular
150.0,0.0,0.0,0.0,0,0,0.99679,-0.00107,,,,,,,Regular
155.0,0.0,0.0,0.0,0,0,0.99646,-0.00123,,,,,,,Regular
160.0,0.0,0.0,0.0,0,0,0.9961,-0.00139,,,,,,,Regular
165.0,0.0,0.0,0.0,0,0,0.99572,-0.00155,,,,,,,Regular
170.0,0.0,0.0,0.0,0,0,0.99532,-0.00174,,,,,,,Regular
175.0,0.0,0.0,0.0,0,0,0.9949,-0.00198,,,,,,,Regular
180.0,0.0,0.0,0.0,0,0,0.99446,-0.0023,,,,,,,Regular
185.0,0.0,0.0,0.0,0,0,0.99399,-0.00265,,,,,,,Regular
190.0,0.0,0.0,0.0,0,0,0.9935,-0.00301,,,,,,,Regular
195.0,0.0,0.0,0.0,0,0,0.99293,-0.0034,,,,,,,Regular
200.0,1.7455,0.0,1.7455,565,0,0.99212,-0.00383,,,,,,,Regular
205.0,0.0,0.0,0.0,0,0,0.99122,-0.0043,,,,,,,Regular
210.0,0.0,0.0,0.0,0,0,0.99027,-0.00479,,,,,,,Regular
215.0,0.0,0.0,0.0,0,0,0.98926,-0.00531,,,,,,,Regular
220.0,3.3152,-5.2399,-1.9247,666,1730,0.98819,-0.00587,,,,,,,Regular
225.0,0.0,-1.4879,-1.4879,0,435,0.98705,-0.00646,,,,,,,Regular
230.0,1.346,-5.5768,-4.2308,214,1441,0.98568,-0.00712,,,,,,,Regular
235.0,0.0,-2.0183,-2.0183,0,455,0.98357,-0.00798,,,,,,,Regular
240.0,4.3066,-15.9294,-11.6228,513,3101,0.98117,-0.00907,,,,,,,Regular
245.0,0.0,-2.0363,-2.0363,0,343,0.97863,-0.01027,,,,,,,Regular
250.0,7.7674,-65.1224,-57.355,705,9487,0.97588,-0.01163,,,,,,,Regular
255.0,1.0301,-4.2243,-3.1942,82,526,0.97294,-0.01337,,,,,,,Regular
260.0,0.0,-69.9112,-69.9112,0,7395,0.96946,-0.01549,,,,,,,Regular
265.0,0.0,-15.2197,-15.2197,0,1357,0.96437,-0.01816,,,,,,,Regular
270.0,11.8358,-72.598,-60.7622,607,5430,0.95866,-0.02142,,,,,,,Regular
275.0,2.3195,-22.0673,-19.7478,103,1357,0.95259,-0.02612,,,,,,,Regular
280.0,14.6908,-172.9794,-158.2886,567,8779,0.94609,-0.03171,,,,,,,Regular
285.0,1.8232,-48.7748,-46.9516,61,2036,0.93844,-0.03883,,,,,,,Regular
290.0,31.0927,-399.3206,-368.2279,890,13662,0.92734,-0.04808,,,,,,,Regular
295.0,4.3264,-103.3563,-99.0299,106,2904,0.91364,-0.05977,,,,,,,Regular
300.0,123.6819,-928.6572,-804.9753,2613,21447,0.89884,-0.07515,,,,,,,Regular
305.0,62.8754,-109.525,-46.6496,1149,2101,0.88195,-0.09385,,,,,,,Regular
310.0,204.0793,-557.9981,-353.9188,3232,8987,0.85968,-0.11688,44.4,45.25,2.34,2.39,,3.55,Regular
315.0,181.2423,-258.0238,-76.7815,2507,3538,0.83404,-0.14464,40.2,40.85,3,3.1,0.61,3.5,Regular
320.0,273.6988,-827.6685,-553.9697,3337,9821,0.80429,-0.1773,36,36.7,3.8,3.9,0.7,3.35,Regular
325.0,467.0965,-486.7229,-19.6264,5063,5082,0.77102,-0.21433,32.2,32.65,4.85,4.95,0.95,3.25,Regular
330.0,517.3479,-1017.3457,-499.9978,5085,9535,0.73112,-0.25668,28.4,28.95,6.1,6.2,1.15,3,Regular
335.0,277.9117,-373.6832,-95.7715,2524,3195,0.68703,-0.30258,24.95,25.4,7.6,7.7,1.4,3,Regular
337.5,0.4545,-34.177,-33.7225,4,282,0.66363,-0.3275,23.35,23.55,8.45,8.6,,2.6,Regular
340.0,489.3689,-2465.6769,-1976.308,4180,19709,0.63993,-0.35298,21.7,21.95,9.4,9.5,1.7,2.75,Regular
342.5,1.2032,-6.0281,-4.8249,10,47,0.61575,-0.37927,20.25,20.75,10.4,10.5,1.8,2.6,Regular
345.0,364.7445,-416.0304,-51.2859,2977,3176,0.59071,-0.40592,18.75,18.95,11.45,11.6,1.95,2.5,Regular
347.5,6.2152,-8.5034,-2.2882,50,64,0.56545,-0.43299,17.4,17.65,12.6,12.75,2.1,2.3,Regular
350.0,739.9279,-1602.3018,-862.3739,5899,11932,0.54001,-0.46019,16.1,16.25,13.8,13.95,2.2,2.2,Regular
352.5,41.3676,-13.9543,27.4133,328,103,0.51455,-0.48754,14.9,15.1,15.1,15.25,2.35,2.1,Regular
355.0,315.6502,-233.7516,81.8986,2497,1728,0.48911,-0.51467,13.75,13.9,16.45,16.6,2.5,1.95,Regular
357.5,58.1278,-44.516,13.6118,461,331,0.46385,-0.5415,12.7,12.8,17.65,18.05,2.4,1.85,Regular
360.0,589.502,-1102.1872,-512.6852,4717,8262,0.43911,-0.56814,11.7,11.8,19.2,19.55,2.6,1.7,Regular
362.5,17.0392,-1.3116,15.7276,138,10,0.41475,-0.59373,10.75,10.85,20.65,21.1,2.6,1.6,Regular
365.0,378.4274,-278.81,99.6174,3112,2167,0.39082,-0.61888,9.9,10,22.15,22.75,2.6,1.5,Regular
367.5,10.9652,0.0,10.9652,92,0,0.36768,-0.64405,9.05,9.15,24.05,24.4,2.95,1.35,Regular
370.0,1121.4106,-619.5283,501.8823,9628,5026,0.34511,-0.66882,8.3,8.4,25.95,26.2,3.2,1.25,Regular
372.5,36.8991,-0.119,36.7801,325,1,0.323,-0.69072,7.6,7.7,27.75,28,3.35,1.1,Regular
375.0,409.1548,-322.5614,86.5934,3721,2821,0.30258,-0.71072,6.95,7.05,29.2,29.85,3,1,Regular
377.5,4.4617,0.0,4.4617,42,0,0.28291,-0.73016,6.4,6.5,30.95,32.1,2.95,0.95,Regular
380.0,826.942,-899.9388,-72.9968,8081,8555,0.26419,-0.74923,5.85,5.95,33,33.75,3.15,0.9,Regular
382.5,12.4881,0.0,12.4881,127,0,0.24628,-0.76759,5.35,5.45,34.8,35.95,2.7,,Regular
385.0,241.1175,-238.4702,2.6473,2557,2483,0.22887,-0.78572,4.85,4.95,37,37.85,3.25,0.7,Regular
390.0,776.3225,-531.47,244.8525,9034,6131,0.19822,-0.82076,4.05,4.15,41.1,42.15,3.25,,Regular
395.0,259.2678,-178.2891,80.9787,3337,2311,0.17054,-0.84938,,,,,,,Regular
400.0,1321.1738,-978.9735,342.2003,18945,14383,0.14669,-0.87315,,,,,,,Regular
405.0,268.8494,-103.495,165.3544,4319,1727,0.12613,-0.89156,,,,,,,Regular
410.0,263.7082,-181.4279,82.2803,4768,3455,0.10833,-0.9078,,,,,,,Regular
415.0,110.2634,-80.3131,29.9503,2245,1750,0.09385,-0.92154,,,,,,,Regular
420.0,673.3978,-97.7766,575.6212,15479,2464,0.08119,-0.93444,,,,,,,Regular
425.0,270.0963,-99.9405,170.1558,7005,2980,0.07062,-0.94728,,,,,,,Regular
430.0,135.2382,-95.272,39.9662,3950,3472,0.06181,-0.95957,,,,,,,Regular
435.0,63.5615,0.0,63.5615,2090,0,0.0542,-0.96894,,,,,,,Regular
440.0,197.8745,-113.6287,84.2458,7291,6543,0.04798,-0.9774,,,,,,,Regular
445.0,28.1855,0.0,28.1855,1157,0,0.04292,-0.98392,,,,,,,Regular
450.0,243.1023,-40.7056,202.3967,11089,3515,0.03854,-0.98583,,,,,,,Regular
455.0,21.8487,0.0,21.8487,1102,0,0.03487,-0.98658,,,,,,,Regular
460.0,70.7882,0.0,70.7882,3940,0,0.03162,-0.98727,,,,,,,Regular
465.0,30.2993,0.0,30.2993,1841,0,0.02915,-0.98792,,,,,,,Regular
470.0,57.206,0.0,57.206,3782,0,0.02697,-0.98853,,,,,,,Regular
475.0,43.3824,0.0,43.3824,3120,0,0.02493,-0.98911,,,,,,,Regular
480.0,62.6019,0.0,62.6019,4878,0,0.02316,-0.98965,,,,,,,Regular
485.0,17.5929,0.0,17.5929,1481,0,0.02159,-0.99016,,,,,,,Regular
490.0,54.1861,0.0,54.1861,4929,0,0.0201,-0.99065,,,,,,,Regular
495.0,37.2292,0.0,37.2292,3659,0,0.01869,-0.99111,,,,,,,Regular
500.0,146.9502,0.0,146.9502,15512,0,0.01752,-0.99156,,,,,,,Regular
505.0,24.0464,0.0,24.0464,2707,0,0.01658,-0.99198,,,,,,,Regular
510.0,11.6131,0.0,11.6131,1392,0,0.01571,-0.99239,,,,,,,Regular
515.0,7.7561,0.0,7.7561,990,0,0.01487,-0.99278,,,,,,,Regular
520.0,24.3914,0.0,24.3914,3315,0,0.01406,-0.99316,,,,,,,Regular
525.0,9.7006,0.0,9.7006,1402,0,0.01331,-0.99352,,,,,,,Regular
530.0,7.3326,0.0,7.3326,1127,0,0.01259,-0.99387,,,,,,,Regular
535.0,0.0,0.0,0.0,0,0,0.0119,-0.99421,,,,,,,Regular
540.0,12.5376,0.0,12.5376,2180,0,0.01125,-0.99454,,,,,,,Regular
545.0,3.7425,0.0,3.7425,687,0,0.01073,-0.99486,,,,,,,Regular
550.0,34.7545,0.0,34.7545,6723,0,0.01025,-0.99518,,,,,,,Regular
555.0,0.0,0.0,0.0,0,0,0.00979,-0.99548,,,,,,,Regular
560.0,5.3965,0.0,5.3965,1160,0,0.00934,-0.99578,,,,,,,Regular
565.0,0.0,0.0,0.0,0,0,0.00891,-0.99606,,,,,,,Regular
570.0,7.2422,0.0,7.2422,1731,0,0.00849,-0.99635,,,,,,,Regular
575.0,0.3028,0.0,0.3028,76,0,0.00813,-0.99662,,,,,,,Regular
580.0,7.6308,0.0,7.6308,2008,0,0.00781,-0.99689,,,,,,,Regular
585.0,0.0,0.0,0.0,0,0,0.00749,-0.99716,,,,,,,Regular
590.0,0.0,0.0,0.0,0,0,0.00718,-0.99742,,,,,,,Regular
595.0,6.0217,0.0,6.0217,1827,0,0.00688,-0.99767,,,,,,,Regular
600.0,33.5478,0.0,33.5478,10676,0,0.00658,-0.9979,,,,,,,Regular
605.0,0.0,0.0,0.0,0,0,0.00632,-0.9981,,,,,,,Regular
610.0,9.1696,0.0,9.1696,3198,0,0.00606,-0.99829,,,,,,,Regular
615.0,0.0,0.0,0.0,0,0,0.00581,-0.99848,,,,,,,Regular
620.0,0.0,0.0,0.0,0,0,0.00556,-0.99867,,,,,,,Regular
625.0,0.2143,0.0,0.2143,86,0,0.00532,-0.99886,,,,,,,Regular
630.0,0.0,0.0,0.0,0,0,0.00509,-0.99904,,,,,,,Regular
635.0,0.0,0.0,0.0,0,0,0.00491,-0.99923,,,,,,,Regular
640.0,0.0,0.0,0.0,0,0,0.00477,-0.99942,,,,,,,Regular
650.0,0.0,0.0,0.0,0,0,0.0045,-0.99976,,,,,,,Regular
660.0,0.0,0.0,0.0,0,0,0.00424,-0.99984,,,,,,,Regular
670.0,0.0,0.0,0.0,0,0,0.004,-0.99985,,,,,,,Regular
680.0,0.0,0.0,0.0,0,0,0.0038,-0.99986,,,,,,,Regular
690.0,0.0,0.0,0.0,0,0,0.00362,-0.99987,,,,,,,Regular
700.0,0.0,0.0,0.0,0,0,0.00345,-0.99988,,,,,,,Regular
710.0,0.0,0.0,0.0,0,0,0.00329,-0.99989,,,,,,,Regular
720.0,0.0,0.0,0.0,0,0,0.00314,-0.9999,,,,,,,Regular
730.0,0.0,0.0,0.0,0,0,0.00299,-0.99991,,,,,,,Regular
