
==> GET http://localhost:7001/App/Gex/Analysis?Symbol=QQQ&Refresh=true
    (barrido nuevo: puede tardar varios minutos)
    113s

==> Bid/ask de 122 strikes (244 legs) desde /Data/Tastytrade/MarketData/Quote
    20/122...
    40/122...
    60/122...
    80/122...
    100/122...
    120/122...

==> QQQ - 2026-09-18 - DTE 24 - REGULAR
    Spot 710,595   ATM IV 0,1971   Net GEX -58,4 B   Call Wall 750,0   Put Wall 700,0   ZGL 709,0
    Strikes: 267 en la cadena   |   Suma call 230.499,2 M | put -288.921,2 M | net -58.421,9 M

    GEX en millones de USD por 1% de movimiento  |  filas con |net| >= 20 M (146 de 267)
      STRIKE     CALL GEX      PUT GEX      NET GEX  CALL OI   PUT OI    C BID   C ASK   P BID   P ASK     PCS5    CCS5
         510          0,0        -53,0        -53,0        0    6.797        -       -       -       -        -       -
         520          0,0        -75,0        -75,0        0    7.965        -       -       -       -        -       -
         525          0,0        -49,0        -49,0        0    4.737        -       -       -       -        -       -
         530         11,1       -153,0       -141,9      362   13.507        -       -       -       -        -       -
         535          0,0       -146,3       -146,3        0   11.806        -       -       -       -        -       -
         540         20,8       -164,5       -143,6      602   12.116        -       -       -       -        -       -
         545          9,8        -94,0        -84,3      265    6.262        -       -       -       -        -       -
         550         27,0       -540,0       -513,0      690   32.343        -       -       -       -        -       -
         555          0,0       -168,4       -168,4        0    9.092        -       -       -       -        -       -
         560        198,0       -409,0       -211,0    4.465   19.932        -       -       -       -        -       -
         565          0,0       -284,2       -284,2        0   12.477        -       -       -       -        -       -
         570        142,9     -1.858,9     -1.716,0    2.837   73.533        -       -       -       -        -       -
         575         87,0       -536,7       -449,7    1.618   19.090        -       -       -       -        -       -
         580         72,0       -566,9       -495,0    1.254   18.163        -       -       -       -        -       -
         585        182,7       -342,4       -159,7    2.976    9.869        -       -       -       -        -       -
         590        318,2     -1.011,9       -693,7    4.838   25.985        -       -       -       -        -       -
         595        287,1       -567,3       -280,2    4.064   12.995        -       -       -       -        -       -
         600        456,8     -2.848,0     -2.391,2    6.009   58.243        -       -       -       -        -       -
         605        115,7     -1.273,2     -1.157,6    1.411   23.176        -       -       -       -        -       -
         610      1.152,8     -1.178,8        -25,9   12.992   19.099        -       -       -       -        -       -
         615        647,6     -1.537,4       -889,8    6.730   22.092        -       -       -       -        -       -
         620        385,4     -3.216,9     -2.831,6    3.688   40.963        -       -       -       -        -       -
