
==> GET http://localhost:7001/App/Gex/Analysis?Symbol=QQQ&Refresh=false
    0s

==> Bid/ask de 114 strikes (228 legs) desde /Data/Tastytrade/MarketData/Quote
    20/114...
    40/114...
    60/114...
    80/114...
    100/114...

==> QQQ - 2026-10-16 - DTE 52 - REGULAR
    Spot 710,595   ATM IV 0,2032   Net GEX -23,7 B   Call Wall 750,0   Put Wall 700,0   ZGL 708,85
    Strikes: 238 en la cadena   |   Suma call 53.144,9 M | put -76.883,1 M | net -23.738,2 M

    GEX en millones de USD por 1% de movimiento  |  filas con |net| >= 20 M (142 de 238)
      STRIKE     CALL GEX      PUT GEX      NET GEX  CALL OI   PUT OI    C BID   C ASK   P BID   P ASK     PCS5    CCS5
         450          0,0        -80,8        -80,8        0   11.167        -       -       -       -        -       -
         490          0,0        -31,2        -31,2        0    2.393        -       -       -       -        -       -
         500          0,0        -89,7        -89,7        0    5.939        -       -       -       -        -       -
         515          0,0       -234,9       -234,9        0   12.403        -       -       -       -        -       -
         520          0,0        -96,1        -96,1        0    4.700        -       -       -       -        -       -
         525          0,0       -105,7       -105,7        0    4.778        -       -       -       -        -       -
         530          0,0        -31,7        -31,7        0    1.324        -       -       -       -        -       -
         540          0,0       -242,0       -242,0        0    8.642        -       -       -       -        -       -
         545          0,0        -29,6        -29,6        0      975        -       -       -       -        -       -
         550          0,0       -283,9       -283,9        0    8.613        -       -       -       -        -       -
         555          0,0        -22,2        -22,2        0      620        -       -       -       -        -       -
         560         10,4       -108,6        -98,2      188    2.798        -       -       -       -        -       -
         565          0,0        -33,0        -33,0        0      781        -       -       -       -        -       -
         570          4,4        -63,8        -59,4       71    1.388        -       -       -       -        -       -
         575          0,0       -268,4       -268,4        0    5.365        -       -       -       -        -       -
         580          0,0       -215,0       -215,0        0    3.949        -       -       -       -        -       -
         585          0,0       -229,2       -229,2        0    3.860        -       -       -       -        -       -
         590         22,8       -251,4       -228,6      287    3.883        -       -       -       -        -       -
         595          0,0       -604,7       -604,7        0    8.566        -       -       -       -        -       -
         600         45,9     -1.038,3       -992,4      509   13.485        -       -       -       -        -       -
         605          0,0       -249,3       -249,3        0    2.968        -       -       -       -        -       -
         610         28,5       -546,8       -518,3      278    5.962        -       -       -       -        -       -
         615         57,3       -184,4       -127,1      523    1.842        -       -       -       -        -       -
         620         33,7     -1.952,4     -1.918,7      288   17.867        -       -       -       -        -       -
         625          0,0     -1.858,6     -1.858,6        0   15.582        -       -       -       -        -       -
         630         84,1       -669,2       -585,0      628    5.140    86,84   87,94    4,06    4,11        -    3,49
         635         33,7       -287,5       -253,8      235    2.024    82,26   83,35    4,45    4,50     0,34    3,45
         640         42,2     -1.684,9     -1.642,7      275   10.883    77,73   78,81    4,89    4,94     0,39    3,42
         645         52,1       -162,4       -110,3      317      963    73,25   74,31    5,38    5,43     0,44    3,38
         650        237,6     -4.688,6     -4.451,0    1.349   25.557    68,83   69,87    5,92    5,98     0,49    3,48
         651          0,0        -33,4        -33,4        0      179    67,99   68,79    6,03    6,10        -    3,36
         652          0,0        -24,1        -24,1        0      127    67,08   68,11    6,15    6,22        -    3,32
         653          1,8        -22,4        -20,5       10      116    66,20   67,24    6,28    6,34        -    3,30
         654          0,0        -39,6        -39,6        0      202    65,38   66,17    6,40    6,47        -    3,34
         655        162,6       -391,6       -229,0      863    1.965    64,51   65,35    6,53    6,59     0,55    3,27
         656          6,1        -37,7        -31,6       32      186    63,61   64,63    6,66    6,74     0,56    3,43
         658          0,0        -27,2        -27,2        0      130    61,90   62,90    6,93    7,00     0,59    3,21
         659          0,0        -29,3        -29,3        0      138    61,03   62,04    7,07    7,14     0,60    3,42
         660        199,5     -2.988,2     -2.788,8      990   13.828    60,18   61,24    7,21    7,28     0,62    3,23
         661          0,0        -23,5        -23,5        0      107    59,33   60,18    7,35    7,42     0,61    3,21
         662          0,0       -327,0       -327,0        0    1.466    58,51   59,48    7,50    7,57     0,64    3,23
         663          0,0        -93,1        -93,1        0      411    57,63   58,69    7,65    7,73     0,65    3,18
         665        104,7       -996,7       -892,0      486    4.263    55,98   56,95    7,97    8,04     0,69    3,34
         666          0,0        -66,7        -66,7        0      281    55,14   56,12    8,13    8,21     0,71    3,32
         667          7,1        -49,0        -41,9       32      203    54,32   55,28    8,30    8,37     0,73    3,31
         668          0,0        -37,7        -37,7        0      154    53,49   54,45    8,47    8,54     0,74    3,35
         669          0,0        -21,4        -21,4        0       86    52,69   53,39    8,64    8,72     0,76    3,35
         670          0,0     -6.289,6     -6.289,6        0   24.928    51,86   52,64    8,82    8,90     0,78    3,32
         671          0,0        -21,3        -21,3        0       83    51,05   51,82    9,00    9,08     0,79    3,31
         673          0,0       -183,0       -183,0        0      694    49,44   50,14    9,38    9,46     0,84    3,20
         674          0,0        -50,8        -50,8        0      190    48,64   49,34    9,57    9,65     0,85    3,25
         675        104,5     -1.717,9     -1.613,4      425    6.329    48,02   48,54    9,77    9,85     0,87    3,35
         676          0,0        -50,7        -50,7        0      184    47,05   47,74    9,97   10,06     0,89    3,15
         677          0,0        -67,3        -67,3        0      241    46,26   46,96   10,18   10,26     0,91    3,12
         678          0,0        -34,5        -34,5        0      122    45,47   46,24   10,39   10,47     0,93    3,10
         680        371,4     -7.478,4     -7.107,0    1.421   25.698    43,92   44,67   10,82   10,91     0,97    3,05
         681          0,0        -86,4        -86,4        0      293    43,37   43,90   11,05   11,14     0,99    3,25
         682          0,0        -91,2        -91,2        0      305    42,41   43,14   11,26   11,35     1,00    3,03
         683          0,0       -192,6       -192,6        0      636    41,72   42,37   11,50   11,59     1,03    3,08
         684         15,0        -38,0        -23,0       55      124    40,87   41,62   11,74   11,83     1,05    3,19
         685        316,7     -2.189,2     -1.872,5    1.147    7.045    40,12   40,87   11,97   12,07     1,06    3,16
         686          0,0        -56,7        -56,7        0      180    39,37   40,12   12,23   12,32     1,09    3,12
         687          0,0       -116,3       -116,3        0      365    38,63   39,38   12,47   12,57     1,12    3,09
         688          0,0       -141,9       -141,9        0      440    37,89   38,64   12,73   12,83     1,14    3,06
         689          0,0       -108,7       -108,7        0      333    37,50   37,68   13,00   13,10     1,17    3,35
         690        436,3     -3.506,3     -3.070,0    1.506   10.615    36,80   36,96   13,27   13,37     1,20    3,38
         691         18,4       -136,4       -117,9       63      408    36,09   36,25   13,55   13,64     1,23    3,37
         692          0,0       -106,2       -106,2        0      314    35,37   35,54   13,83   13,93     1,26    3,30
         693         27,1       -104,3        -77,1       91      305    34,66   34,83   14,12   14,21     1,29    3,29
         694         21,1        -89,2        -68,1       70      258    33,97   34,15   14,41   14,51     1,31    3,29
         695        299,2     -1.064,2       -765,1      984    3.047    33,25   33,42   14,71   14,81     1,34    3,25
         696         29,2       -149,0       -119,8       95      422    32,56   32,72   15,02   15,12     1,38    3,23
         697         19,5        -69,6        -50,0       63      195    31,90   32,07   15,33   15,44     1,40    3,22
         698         34,4        -86,8        -52,4      110      241    31,20   31,37   15,65   15,76     1,44    3,17
         699         15,8       -364,7       -348,9       50    1.003    30,52   30,68   15,98   16,08     1,47    3,09
         700      5.988,5     -9.309,2     -3.320,7   18.836   25.362    29,84   30,00   16,31   16,43     1,50    3,05
         701         21,8        -53,7        -31,9       68      145    29,18   29,33   16,65   16,76     1,53    3,01
         702         35,5       -366,6       -331,1      110      981    28,54   28,68   17,00   17,10     1,56    2,98
         703         30,2        -75,0        -44,8       93      199    27,88   28,03   17,35   17,47     1,59    2,95
         705        320,8     -3.224,7     -2.903,9      972    8.421    26,63   26,79   18,09   18,20     1,66    2,91
         706         66,1       -112,7        -46,5      199      292    26,01   26,17   18,47   18,57     1,71    2,81
         707         69,6        -95,2        -25,6      208      245    25,40   25,56   18,85   18,96     1,75    2,79
         708         43,4       -118,2        -74,7      129      302    24,78   24,93   19,22   19,34     1,75    2,75
         710        574,6       -945,4       -370,8    1.687    2.385    23,63   23,72   20,03   20,11     1,83    2,71
         711         26,7        -81,7        -55,0       78      205    23,05   23,20   20,43   20,55     1,86    2,68
         712         65,0       -135,9        -70,9      189      339    22,47   22,61   20,85   20,98     1,89    2,64
         713        108,9       -141,0        -32,1      315      350    21,91   22,03   21,28   21,41     1,94    2,60
         714         74,0       -108,0        -34,1      213      267    21,35   21,48   21,73   21,85     1,98    2,56
         715      1.501,3     -1.378,9        122,4    4.305    3.395    20,79   20,92   22,17   22,31     2,06    2,54
         716         83,3     -4.778,0     -4.694,7      238   11.725    20,25   20,37   22,63   22,77     2,08    2,48
         717         67,4       -622,2       -554,9      192    1.522    19,70   19,83   23,11   23,25     2,13    2,43
         718        219,9       -182,9         36,9      625      446    19,17   19,31   23,58   23,71     2,17    2,38
         719        434,0          0,0        434,0    1.231        0    18,66   18,79   24,07   24,22     2,22    2,35
         720      2.279,8     -2.883,6       -603,8    6.454    7.002    18,16   18,25   24,57   24,71     2,26    2,34
         721        157,7          0,0        157,7      446        0    17,64   17,77   25,08   25,22     2,31    2,22
         722        113,3        -92,8         20,5      320      225    17,16   17,27   25,60   25,73     2,35    2,19
         723        162,3        -52,0        110,3      458      126    16,66   16,79   26,10   26,26     2,39    2,15
         725      1.578,8       -666,9        912,0    4.449    1.618    15,74   15,82   27,18   27,33     2,47    2,09
         726        221,6       -120,1        101,5      625      292    15,31   15,42   27,68   27,85     2,46    2,07
         727        126,8        -77,1         49,6      358      188    14,86   14,97   28,24   28,40     2,51    2,02
         728        262,3          0,0        262,3      742        0    14,39   14,51   28,84   29,01     2,58    1,95
         730      3.526,4       -854,0      2.672,4   10.010    2.101    13,56   13,65   30,01   30,18     2,68    1,88
         731        213,1          0,0        213,1      607        0    13,13   13,24   30,58   30,75     2,73    1,82
         732        198,4       -161,0         37,3      567      400    12,74   12,84   31,18   31,35     2,78    1,79
         733        213,3          0,0        213,3      612        0    12,35   12,44   31,80   31,97     2,79    1,76
         734        100,7          0,0        100,7      290        0    11,96   12,06   32,46   32,63     2,90    1,71
         735        716,2       -286,6        429,6    2.071      725    11,57   11,68   33,10   33,28     2,92    1,66
         736         97,7        -17,3         80,4      284       44    11,20   11,31   33,76   33,92     3,01    1,61
         737        115,2        -41,2         74,0      337      106    10,84   10,95   34,40   34,58     3,05    1,57
         738         88,7          0,0         88,7      261        0    10,49   10,59   35,06   35,24     3,09    1,53
