
==> GET http://localhost:7001/App/Gex/Analysis?Symbol=TSLA&Refresh=true
    (barrido nuevo: puede tardar varios minutos)
    47s

==> Bid/ask de 59 strikes (118 legs) desde /Data/Tastytrade/MarketData/Quote
    20/59...
    40/59...

==> TSLA - 2026-09-18 - DTE 25 - REGULAR
    Spot 351,105   ATM IV 0,4152   Net GEX -3,0 B   Call Wall 400,0   Put Wall 340,0   ZGL 352,42
    Strikes: 167 en la cadena   |   Suma call 13.122,7 M | put -16.149,8 M | net -3.027,1 M

    GEX en millones de USD por 1% de movimiento  |  filas con |net| >= 20 M (53 de 167)
      STRIKE     CALL GEX      PUT GEX      NET GEX  CALL OI   PUT OI    C BID   C ASK   P BID   P ASK     PCS5    CCS5
         250          8,7        -65,5        -56,8      705    9.487   101,15  104,00    0,22    0,24     0,00    2,20
         260          0,0        -70,8        -70,8        0    7.395    91,30   93,95    0,28    0,30     0,01    2,30
         270         12,3        -73,6        -61,3      607    5.430    81,70   83,65    0,38    0,40     0,03    2,85
         280         15,2       -174,6       -159,4      567    8.779    72,10   74,75    0,56    0,58     0,08    2,70
         285          1,9        -49,4        -47,5       61    2.036    67,45   69,40    0,69    0,70     0,11    3,15
         290         32,0       -405,0       -373,1      890   13.662    62,90   64,30    0,86    0,88     0,16    3,30
         295          4,4       -104,8       -100,5      106    2.904    58,45   59,60    1,08    1,10     0,20    3,70
         300        125,1       -941,9       -816,9    2.613   21.447    53,95   54,75    1,38    1,40     0,28    3,75
         305         63,7       -111,2        -47,4    1.149    2.101    49,30   50,20    1,77    1,80     0,37    3,60
         310        206,6       -566,1       -359,5    3.232    8.987    44,85   45,70    2,27    2,31     0,47    3,55
         315        183,5       -261,7        -78,2    2.507    3.538    40,55   41,30    2,91    2,95     0,60    3,40
         320        276,7       -839,0       -562,3    3.337    9.821    36,40   37,15    3,70    3,80     0,75    3,50
         325        469,0       -493,4        -24,4    5.063    5.082    32,40   32,90    4,70    4,80     0,90    3,25
         330        518,4     -1.030,1       -511,7    5.085    9.535    28,65   29,15    5,90    6,00     1,10    3,05
         335        280,1       -376,2        -96,2    2.524    3.195    25,25   25,60    7,40    7,50     1,40    2,90
       337.5          0,5        -34,4        -34,0        4      282    23,40   23,95    8,20    8,30        -    2,55
         340        493,8     -2.480,7     -1.986,9    4.180   19.709    22,15   22,35    9,10    9,20     1,60    2,75
         345        367,0       -418,0        -51,0    2.977    3.176    19,15   19,40   11,10   11,25     1,90    2,45
         350        744,9     -1.609,7       -864,8    5.899   11.932    16,50   16,70   13,40   13,55     2,15    2,35
       352.5         41,6        -13,9         27,6      328      103    15,15   15,35   14,70   14,85     2,35    2,05
         355        316,7       -234,1         82,6    2.497    1.728    14,05   14,15   16,10   16,20     2,55    1,95
         360        589,6     -1.100,2       -510,7    4.717    8.262    11,95   12,10   18,95   19,15     2,75    1,70
         365        377,7       -278,3         99,5    3.112    2.167    10,10   10,25   22,00   22,55     2,85    1,50
         370      1.115,3       -613,9        501,4    9.628    5.026     8,50    8,60   25,35   26,00     2,80    1,25
       372.5         36,6         -0,1         36,5      325        1     7,80    7,90   27,15   27,95     2,50    1,15
         375        406,0       -321,2         84,8    3.721    2.821     7,15    7,25   28,95   29,70     2,95    1,10
         380        819,0       -897,4        -78,5    8.081    8.555     5,95    6,05   32,80   33,60     3,10    0,85
         390        765,1       -522,0        243,1    9.034    6.131     4,15    4,25   41,00   41,75     3,35    0,60
         395        254,8       -173,1         81,7    3.337    2.311     3,45    3,55   45,25   46,15     3,50    0,47
         400      1.295,8       -933,7        362,1   18.945   14.383     2,92    2,98   49,35   50,70     3,20    0,44
         405        263,2        -95,9        167,3    4.319    1.727     2,44    2,48   53,80   55,25     3,10    0,33
         410        258,1       -162,9         95,1    4.768    3.455     2,07    2,11   58,65   60,05     3,40    0,28
         415        107,6        -69,1         38,5    2.245    1.750     1,75    1,79   63,35   64,80     3,30    0,22
         420        657,0        -79,0        578,0   15.479    2.464     1,50    1,53   68,25   69,55     3,45    0,19
         425        263,0        -74,9        188,1    7.005    2.980     1,28    1,31   72,95   74,40     3,40    0,14
         430        131,7        -61,7         70,0    3.950    3.472     1,11    1,14   77,75   79,35     3,35    0,11
         435         62,0          0,0         62,0    2.090        0     0,97    1,00   82,70   84,30     3,35    0,09
         440        193,3        -40,3        153,0    7.291    6.543     0,86    0,88   87,30   89,25     3,00    0,07
         445         27,5          0,0         27,5    1.157        0     0,76    0,79   92,10   94,10     2,85    0,05
         450        237,9          0,0        237,9   11.089        0     0,69    0,71   97,50   99,00     3,40    0,04
         455         21,4          0,0         21,4    1.102        0     0,62    0,65  101,85  104,20     2,85    0,02
         460         69,4          0,0         69,4    3.940        0     0,57    0,60  107,10  108,95     2,90    0,02
         465         29,7          0,0         29,7    1.841        0     0,53    0,55  112,00  114,20     3,05    0,02
         470         56,1          0,0         56,1    3.782        0     0,49    0,51  116,85  119,50     2,65       -
         475         42,5          0,0         42,5    3.120        0        -       -       -       -        -       -
         480         61,2          0,0         61,2    4.878        0        -       -       -       -        -       -
         490         53,4          0,0         53,4    4.929        0        -       -       -       -        -       -
         495         36,9          0,0         36,9    3.659        0        -       -       -       -        -       -
         500        145,7          0,0        145,7   15.512        0        -       -       -       -        -       -
         505         23,7          0,0         23,7    2.707        0        -       -       -       -        -       -
         520         23,8          0,0         23,8    3.315        0        -       -       -       -        -       -
         550         34,0          0,0         34,0    6.723        0        -       -       -       -        -       -
         600         32,8          0,0         32,8   10.676        0        -       -       -       -        -       -
    (bid/ask solo dentro de +-35% del spot; fuera de esa banda las celdas van vacias)

==> CSV con los 167 strikes: C:\Eric\App\Claude\Projects\GaleCore\research\got\data\2026-08-25\TSLA_gex_2026-09-18.csv
