strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
205.0,0.0,0.0,0.0,0,0,0.99998,0.0,,,,,,,Regular,1.3067,0.9043
210.0,0.0,0.0,0.0,0,0,0.99997,0.0,,,,,,,Regular,1.3067,0.9043
215.0,0.0,0.0,0.0,0,0,0.99996,0.0,,,,,,,Regular,1.3067,0.9043
220.0,0.0,0.0,0.0,0,0,0.99994,0.0,,,,,,,Regular,1.3067,0.9043
225.0,0.0,0.0,0.0,0,0,0.99992,0.0,,,,,,,Regular,1.3067,0.9043
230.0,0.0,0.0,0.0,0,0,0.9999,0.0,,,,,,,Regular,1.3067,0.9043
235.0,0.0,0.0,0.0,0,0,0.99987,0.0,,,,,,,Regular,1.3067,0.9043
240.0,0.0,0.0,0.0,0,0,0.99983,0.0,,,,,,,Regular,1.3067,0.9043
245.0,0.0,0.0,0.0,0,0,0.99978,0.0,,,,,,,Regular,1.3067,0.9043
250.0,0.0,0.0,0.0,0,0,0.99972,0.0,,,,,,,Regular,1.3067,0.9043
255.0,0.0,0.0,0.0,0,0,0.99965,0.0,,,,,,,Regular,1.3067,0.9043
260.0,0.0,0.0,0.0,0,0,0.99956,0.0,,,,,,,Regular,1.3067,0.9043
265.0,0.0,0.0,0.0,0,0,0.99946,0.0,,,,,,,Regular,1.3067,0.9043
270.0,0.0,0.0,0.0,0,0,0.99934,0.0,,,,,,,Regular,1.3067,0.9043
275.0,0.0,0.0,0.0,0,0,0.99919,0.0,,,,,,,Regular,1.3067,0.9043
280.0,0.0,0.0,0.0,0,0,0.99902,-1E-05,,,,,,,Regular,1.3067,0.9043
285.0,0.0,0.0,0.0,0,0,0.99883,-1E-05,,,,,,,Regular,1.3067,0.9043
290.0,0.0,0.0,0.0,0,0,0.9986,-1E-05,,,,,,,Regular,1.3067,0.9043
295.0,0.0,0.0,0.0,0,0,0.99833,-2E-05,,,,,,,Regular,1.3067,0.9043
300.0,0.0,0.0,0.0,0,0,0.99803,-3E-05,,,,,,,Regular,1.3067,0.9043
305.0,0.0,0.0,0.0,0,0,0.99768,-4E-05,,,,,,,Regular,1.3067,0.9043
310.0,0.0,0.0,0.0,0,0,0.99729,-5E-05,,,,,,,Regular,1.3067,0.9043
