strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
300.0,0.0,0.0,0.0,0,0,0.99509,-0.00023,,,,,,,Regular,1.068,0.7579
305.0,0.0,0.0,0.0,0,0,0.99494,-0.00024,,,,,,,Regular,1.0525,0.746
310.0,0.0,0.0,0.0,0,0,0.99479,-0.00025,,,,,,,Regular,1.0373,0.7354
315.0,0.0,0.0,0.0,0,0,0.99463,-0.00028,,,,,,,Regular,1.0223,0.7286
320.0,0.0,0.0,0.0,0,0,0.99447,-0.00032,,,,,,,Regular,1.0074,0.7222
325.0,0.0,0.0,0.0,0,0,0.99431,-0.00035,,,,,,,Regular,0.9928,0.7154
330.0,0.0,0.0,0.0,0,0,0.99414,-0.00039,,,,,,,Regular,0.9783,0.7081
335.0,0.0,0.0,0.0,0,0,0.99398,-0.00042,,,,,,,Regular,0.964,0.7006
340.0,0.0,0.0,0.0,0,0,0.9938,-0.00046,,,,,,,Regular,0.9498,0.6929
345.0,0.0,0.0,0.0,0,0,0.99363,-0.0005,,,,,,,Regular,0.9358,0.685
350.0,0.0,0.0,0.0,0,0,0.99344,-0.00054,,,,,,,Regular,0.922,0.677
355.0,0.0,0.0,0.0,0,0,0.99326,-0.00058,,,,,,,Regular,0.9083,0.6695
360.0,0.0045,0.0,0.0045,1,0,0.99307,-0.00063,,,,,,,Regular,0.8948,0.6619
365.0,0.0,0.0,0.0,0,0,0.99288,-0.00068,,,,,,,Regular,0.8814,0.6542
370.0,0.0,0.0,0.0,0,0,0.99268,-0.00073,,,,,,,Regular,0.8682,0.6463
375.0,0.0,0.0,0.0,0,0,0.99248,-0.00078,,,,,,,Regular,0.8551,0.6383
380.0,0.0,0.0,0.0,0,0,0.99227,-0.00083,,,,,,,Regular,0.8421,0.6302
385.0,0.0,0.0,0.0,0,0,0.99206,-0.00089,,,,,,,Regular,0.8293,0.6221
390.0,0.0,0.0,0.0,0,0,0.99184,-0.00095,,,,,,,Regular,0.8165,0.614
395.0,0.0,0.0,0.0,0,0,0.99162,-0.00101,,,,,,,Regular,0.8039,0.6064
400.0,0.0,0.0,0.0,0,0,0.99139,-0.00109,,,,,,,Regular,0.7915,0.5988
405.0,0.0,0.0,0.0,0,0,0.99116,-0.00116,,,,,,,Regular,0.7791,0.5911
410.0,0.0,0.0,0.0,0,0,0.99092,-0.00124,,,,,,,Regular,0.7668,0.5833
415.0,0.0,0.0,0.0,0,0,0.99067,-0.00131,,,,,,,Regular,0.7547,0.5755
420.0,0.0288,0.0,0.0288,4,0,0.99042,-0.0014,,,,,,,Regular,0.7426,0.5678
425.0,0.0,0.0,0.0,0,0,0.99016,-0.0015,,,,,,,Regular,0.7307,0.5607
430.0,0.0,0.0,0.0,0,0,0.9899,-0.00161,,,,,,,Regular,0.7189,0.5537
435.0,0.0,0.0,0.0,0,0,0.98963,-0.00173,,,,,,,Regular,0.7071,0.5466
440.0,0.0,0.0,0.0,0,0,0.98935,-0.00185,,,,,,,Regular,0.6955,0.5395
445.0,0.0,0.0,0.0,0,0,0.98906,-0.00198,,,,,,,Regular,0.6839,0.5323
450.0,0.0,0.0,0.0,0,0,0.98877,-0.00212,,,,,,,Regular,0.6725,0.5253
455.0,0.0,0.0,0.0,0,0,0.98847,-0.00229,,,,,,,Regular,0.6611,0.5188
460.0,0.0,0.0,0.0,0,0,0.98816,-0.00247,,,,,,,Regular,0.6498,0.5124
465.0,0.0,0.0,0.0,0,0,0.98784,-0.00265,,,,,,,Regular,0.6386,0.5057
470.0,0.0,0.0,0.0,0,0,0.98743,-0.00284,,,,,,,Regular,0.6283,0.4989
475.0,0.0,0.0,0.0,0,0,0.98667,-0.00304,,,,,,,Regular,0.621,0.4921
480.0,0.0,0.0,0.0,0,0,0.98581,-0.00327,,,,,,,Regular,0.6143,0.4856
485.0,0.0,0.0,0.0,0,0,0.98494,-0.00352,,,,,,,Regular,0.6074,0.4791
490.0,0.0,0.0,0.0,0,0,0.98405,-0.00377,,,,,,,Regular,0.6002,0.4725
495.0,0.0,0.0,0.0,0,0,0.98313,-0.00404,,,,,,,Regular,0.5929,0.4658
500.0,0.0,0.0,0.0,0,0,0.98219,-0.00431,,,,,,,Regular,0.5853,0.4589
505.0,0.0,0.0,0.0,0,0,0.98123,-0.00458,,,,,,,Regular,0.5777,0.4519
510.0,0.0,0.0,0.0,0,0,0.98025,-0.00488,,,,,,,Regular,0.5698,0.4449
515.0,0.0,-2.3182,-2.3182,0,325,0.97924,-0.00522,,,,,,,Regular,0.5618,0.4383
520.0,0.0,-6.6091,-6.6091,0,856,0.9782,-0.00562,,,,,,,Regular,0.5537,0.432
525.0,0.0,-2517.0585,-2517.0585,0,301539,0.97714,-0.00603,,,,,,,Regular,0.5455,0.4256
530.0,0.262,-7.8088,-7.5468,12,867,0.97604,-0.00646,,,,,,,Regular,0.5372,0.419
535.0,0.0,-4.2688,-4.2688,0,440,0.97491,-0.0069,,,,,,,Regular,0.5288,0.4123
540.0,0.0,-55.0894,-55.0894,0,5279,0.97375,-0.00735,,,,,,,Regular,0.5203,0.4054
545.0,0.0,-8.078,-8.078,0,720,0.97255,-0.00783,,,,,,,Regular,0.5117,0.3985
550.0,0.0,-181.9784,-181.9784,0,15051,0.97132,-0.00836,,,,,,,Regular,0.503,0.3918
555.0,0.0,-3.5523,-3.5523,0,272,0.97004,-0.00895,,,,,,,Regular,0.4943,0.3853
560.0,1.2068,-5.5395,-4.3327,40,393,0.96873,-0.00958,,,,,,,Regular,0.4855,0.3787
565.0,0.3183,-13.0104,-12.6921,10,856,0.96736,-0.01023,,,,,,,Regular,0.4766,0.3719
570.0,0.4367,-14.0932,-13.6565,13,859,0.96596,-0.01094,,,,,,,Regular,0.4676,0.3653
575.0,0.2127,-15.9513,-15.7386,6,899,0.9645,-0.01172,,,,,,,Regular,0.4586,0.3587
580.0,0.0,-28.703,-28.703,0,1496,0.96298,-0.01256,,,,,,,Regular,0.4496,0.3522
585.0,0.0,-34.8969,-34.8969,0,1680,0.96141,-0.01347,,,,,,,Regular,0.4405,0.3456
590.0,0.0,-72.1629,-72.1629,0,3207,0.95978,-0.01446,,,,,,,Regular,0.4313,0.3391
595.0,0.0,-40.392,-40.392,0,1658,0.95808,-0.0155,,,,,,,Regular,0.4221,0.3325
600.0,12.5968,-350.9892,-338.3924,270,13299,0.95626,-0.01662,,,,,,,Regular,0.413,0.3259
605.0,0.0,-61.6889,-61.6889,0,2156,0.95425,-0.01783,,,,,,,Regular,0.4041,0.3192
610.0,0.0,-90.8325,-90.8325,0,2929,0.95214,-0.01912,,,,,,,Regular,0.3952,0.3125
615.0,0.0,-34.9215,-34.9215,0,1037,0.94993,-0.02054,,,,,,,Regular,0.3863,0.3059
620.0,26.5489,-122.4259,-95.877,450,3332,0.94763,-0.02222,,,,,,,Regular,0.3772,0.2996
625.0,0.0,-6268.7497,-6268.7497,0,156400,0.9452,-0.02403,,,,,,,Regular,0.3681,0.2933
630.0,0.0,-1587.6247,-1587.6247,0,36353,0.94254,-0.0259,,,,,,,Regular,0.3592,0.2867
635.0,0.0,-60.3782,-60.3782,0,1269,0.93956,-0.0279,,,,,,,Regular,0.3506,0.28
640.0,32.3037,-282.3096,-250.0059,426,5431,0.9364,-0.03017,,,,,,,Regular,0.3419,0.2735
645.0,0.0,-589.511,-589.511,0,10349,0.93308,-0.03276,,,,,,,Regular,0.3331,0.2672
650.0,26.8226,-1591.7164,-1564.8938,310,25494,0.92959,-0.03556,,,,,,,Regular,0.3242,0.2607
655.0,0.0,-601.7922,-601.7922,0,8785,0.92591,-0.03862,,,,,,,Regular,0.3151,0.2543
660.0,27.7644,-402.7483,-374.9839,280,5356,0.92193,-0.04194,,,,,,,Regular,0.3061,0.2477
665.0,50.2851,-172.5645,-122.2794,472,2085,0.91731,-0.04571,,,,,,,Regular,0.2975,0.2412
