strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5,expirationType,callIV,putIV
5.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
10.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
15.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
20.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
25.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
30.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
35.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
40.0,0.0,0.0,0.0,0,0,1.0,0.0,,,,,,,Regular,2.0823,1.7604
45.0,0.0,0.0,0.0,0,0,0.99999,0.0,,,,,,,Regular,2.0823,1.7604
50.0,0.0,0.0,0.0,0,0,0.99998,0.0,,,,,,,Regular,2.0823,1.7604
60.0,0.0,0.0,0.0,0,0,0.9999,-1E-05,,,,,,,Regular,2.0823,1.7604
70.0,0.0,0.0,0.0,0,0,0.9997,-4E-05,,,,,,,Regular,2.0823,1.7604
80.0,0.0,0.0,0.0,0,0,0.99923,-0.00013,,,,,,,Regular,2.0823,1.7604
90.0,0.0,0.0,0.0,0,0,0.99834,-0.00035,,,,,,,Regular,2.0823,1.7604
100.0,0.0,0.0,0.0,0,0,0.998,-0.00042,,,,,,,Regular,1.9542,1.6424
110.0,0.0,0.0,0.0,0,0,0.99762,-0.00049,,,,,,,Regular,1.8354,1.5344
115.0,0.0,0.0,0.0,0,0,0.99741,-0.00053,,,,,,,Regular,1.779,1.4836
120.0,0.0,0.0,0.0,0,0,0.9972,-0.00057,,,,,,,Regular,1.7245,1.4346
125.0,0.0,0.0,0.0,0,0,0.99698,-0.00062,,,,,,,Regular,1.6717,1.3875
130.0,0.0,0.0,0.0,0,0,0.99674,-0.00066,,,,,,,Regular,1.6205,1.3419
135.0,0.0,0.0,0.0,0,0,0.9965,-0.00071,,,,,,,Regular,1.5708,1.2978
140.0,0.0,0.0,0.0,0,0,0.99624,-0.00076,,,,,,,Regular,1.5224,1.2551
145.0,0.0,0.0,0.0,0,0,0.99597,-0.00082,,,,,,,Regular,1.4754,1.2137
150.0,0.0,0.0,0.0,0,0,0.99568,-0.00087,,,,,,,Regular,1.43,1.1735
155.0,0.0,0.0,0.0,0,0,0.99536,-0.00093,,,,,,,Regular,1.3863,1.1344
160.0,0.0,0.0,0.0,0,0,0.995,-0.001,,,,,,,Regular,1.3446,1.0963
165.0,0.3242,0.0,0.3242,189,0,0.99459,-0.00106,,,,,,,Regular,1.3046,1.0592
170.0,0.0,0.0,0.0,0,0,0.99415,-0.00117,,,,,,,Regular,1.2658,1.027
175.0,0.0,0.0,0.0,0,0,0.99368,-0.00146,,,,,,,Regular,1.2276,1.0083
180.0,0.0,0.0,0.0,0,0,0.99319,-0.00179,,,,,,,Regular,1.19,0.9895
185.0,0.0,0.0,0.0,0,0,0.99267,-0.00214,,,,,,,Regular,1.1528,0.968
190.0,0.0,0.0,0.0,0,0,0.99207,-0.0025,,,,,,,Regular,1.1172,0.9446
195.0,0.3666,0.0,0.3666,115,0,0.99111,-0.00288,,,,,,,Regular,1.0894,0.92
200.0,2.1132,0.0,2.1132,564,0,0.9895,-0.00328,,,,,,,Regular,1.0721,0.8945
205.0,0.0,0.0,0.0,0,0,0.9877,-0.00371,,,,,,,Regular,1.0541,0.8684
210.0,0.0,0.0,0.0,0,0,0.98583,-0.00416,,,,,,,Regular,1.0333,0.8417
215.0,0.0,0.0,0.0,0,0,0.98389,-0.00463,,,,,,,Regular,1.0105,0.8147
220.0,4.3661,-4.694,-0.3279,669,1729,0.98186,-0.00513,,,,,,,Regular,0.986,0.7875
225.0,0.0147,-1.3398,-1.3251,2,436,0.97973,-0.00567,,,,,,,Regular,0.9603,0.7601
230.0,0.0,-4.9799,-4.9799,0,1434,0.97749,-0.00625,,,,,,,Regular,0.9335,0.7326
235.0,0.0,-8.4801,-8.4801,0,2163,0.97512,-0.00686,118.85,122.3,0.12,0.18,,1.6,Regular,0.9059,0.7051
240.0,5.2816,-14.0907,-8.8091,509,3185,0.97262,-0.00752,114.25,117.25,0.13,0.17,-0.05,1.9,Regular,0.8775,0.6775
245.0,0.0,-1.8972,-1.8972,0,380,0.96997,-0.00823,108.9,112.35,0.15,0.18,-0.02,1.65,Regular,0.8485,0.6499
250.0,8.7057,-53.3991,-44.6934,673,9473,0.96714,-0.009,104.45,107.25,0.16,0.18,-0.02,2.15,Regular,0.819,0.6223
255.0,1.198,-3.6464,-2.4484,83,567,0.96412,-0.00996,99.35,102.3,0.18,0.19,0,1.95,Regular,0.789,0.5961
260.0,7.7653,-56.0875,-48.3222,482,7395,0.96088,-0.01154,94.35,97.4,0.2,0.22,0.01,1.95,Regular,0.7586,0.5746
265.0,0.0,-12.0802,-12.0802,0,1349,0.95739,-0.01337,89.1,92.4,0.23,0.25,0.01,1.95,Regular,0.7278,0.553
270.0,12.2777,-57.0556,-44.7779,610,5398,0.95363,-0.01547,84.65,87.15,0.26,0.27,0.01,2.4,Regular,0.6966,0.5311
275.0,2.526,-15.8526,-13.3266,112,1251,0.94954,-0.01829,79.7,82.25,0.3,0.32,0.03,2.45,Regular,0.6652,0.5113
280.0,14.8275,-135.1958,-120.3683,585,8813,0.94501,-0.02194,74.85,77.25,0.36,0.37,0.04,2.55,Regular,0.6337,0.4929
285.0,3.0895,-43.4735,-40.384,108,2320,0.93984,-0.0267,70.05,72.3,0.42,0.45,0.05,2.8,Regular,0.6026,0.4759
290.0,28.9659,-320.8141,-291.8482,894,13915,0.9341,-0.03293,65.25,67.25,0.52,0.55,0.07,3.1,Regular,0.5711,0.4603
295.0,4.2001,-109.6764,-105.4763,114,3857,0.92775,-0.0409,60.35,62.15,0.66,0.68,0.11,3.4,Regular,0.5391,0.4456
300.0,107.7855,-793.4579,-685.6724,2549,22476,0.91963,-0.05172,56,56.95,0.84,0.87,0.16,3.8,Regular,0.5094,0.4334
305.0,55.7033,-97.9211,-42.2178,1127,2234,0.9061,-0.06618,51.4,52.2,1.09,1.13,0.22,3.85,Regular,0.4896,0.4236
310.0,186.4156,-533.947,-347.5314,3217,9888,0.88835,-0.08473,46.8,47.55,1.43,1.47,0.3,3.75,Regular,0.4736,0.4151
315.0,168.0247,-243.8447,-75.82,2481,3711,0.86623,-0.10793,42.25,43.05,1.89,1.93,0.42,3.65,Regular,0.46,0.4076
320.0,256.6636,-890.544,-633.8804,3265,11308,0.84016,-0.13661,37.9,38.6,2.49,2.53,0.56,3.55,Regular,0.4466,0.4013
322.5,0.0,0.0,0.0,0,0,0.82491,-0.1531,35.7,36.55,2.85,2.9,,3.25,Regular,0.4412,0.3985
325.0,457.5606,-484.4258,-26.8652,5064,5227,0.80853,-0.1709,33.75,34.35,3.25,3.35,0.72,3.5,Regular,0.4357,0.3956
327.5,0.0,0.0,0.0,0,0,0.78983,-0.19066,31.6,32.45,3.7,3.8,0.8,3.2,Regular,0.4327,0.3937
330.0,516.8442,-1168.212,-651.3678,5066,10944,0.76981,-0.21175,29.75,30.25,4.25,4.3,0.9,3.25,Regular,0.43,0.3918
332.5,0.0,0.0,0.0,0,0,0.74894,-0.23456,27.85,28.4,4.8,4.9,1,3.05,Regular,0.4266,0.3905
335.0,275.9852,-482.6179,-206.6327,2431,4020,0.72716,-0.25846,26.05,26.5,5.45,5.55,1.15,3.15,Regular,0.4227,0.3889
337.5,5.0994,-38.666,-33.5666,43,306,0.70343,-0.2834,24.2,24.8,6.15,6.25,1.25,2.8,Regular,0.4211,0.3869
340.0,539.1386,-2697.1856,-2158.047,4367,20443,0.67903,-0.30995,22.6,22.9,6.95,7.05,1.4,2.95,Regular,0.4188,0.3861
342.5,10.6395,-74.8778,-64.2383,83,546,0.65398,-0.33723,20.9,21.4,7.8,7.9,1.55,2.75,Regular,0.4155,0.3846
345.0,432.9004,-482.3844,-49.484,3261,3400,0.6282,-0.36531,19.4,19.65,8.75,8.85,1.7,2.7,Regular,0.4113,0.3827
347.5,17.7114,-88.7431,-71.0317,130,611,0.60121,-0.39454,17.95,18.15,9.75,9.85,1.85,2.55,Regular,0.4091,0.3827
350.0,850.9254,-1816.3706,-965.4452,6136,12264,0.57352,-0.42409,16.55,16.7,10.85,10.95,2,2.4,Regular,0.4083,0.3819
352.5,66.0919,-42.1814,23.9105,469,281,0.54557,-0.45397,15.2,15.4,12,12.15,2.15,2.2,Regular,0.4061,0.3812
355.0,413.9051,-364.7807,49.1244,2924,2413,0.51743,-0.48401,13.95,14.15,13.25,13.4,2.3,2.1,Regular,0.4066,0.3807
357.5,80.2867,-100.2102,-19.9235,568,662,0.48951,-0.51399,12.8,13,14.55,14.7,2.4,2,Regular,0.4074,0.3803
360.0,799.0662,-1184.5315,-385.4653,5668,7865,0.46166,-0.54368,11.7,11.85,15.9,16.2,2.5,1.85,Regular,0.4067,0.3802
362.5,31.1783,-3.5903,27.588,223,24,0.43419,-0.57339,10.7,10.8,17.35,17.7,2.65,1.7,Regular,0.4064,0.3785
365.0,416.1426,-406.0202,10.1224,3019,2754,0.40734,-0.60242,9.75,9.85,18.85,19.3,2.65,1.6,Regular,0.4066,0.3778
367.5,15.5483,-3.3148,12.2335,115,23,0.38122,-0.63033,8.85,9,20.3,21.1,2.6,1.45,Regular,0.407,0.3782
370.0,1357.6611,-624.8842,732.7769,10276,4445,0.35572,-0.65799,8.05,8.15,22.1,22.55,2.8,1.3,Regular,0.4072,0.3772
372.5,50.2275,-0.4099,49.8176,391,3,0.3312,-0.68531,7.3,7.4,23.55,24.4,2.45,1.2,Regular,0.4077,0.3753
375.0,528.9779,-440.8433,88.1346,4254,3355,0.30769,-0.71012,6.6,6.75,25.6,26.3,3.05,1.1,Regular,0.4083,0.3761
377.5,11.5012,-0.5037,10.9975,96,4,0.28545,-0.73414,6,6.1,27.25,28.3,2.85,1,Regular,0.4095,0.3762
380.0,1017.3784,-1028.5444,-11.166,8839,8544,0.2639,-0.75828,5.4,5.5,29.45,30.05,3.15,0.9,Regular,0.41,0.3743
382.5,45.9029,-0.2289,45.674,417,2,0.24385,-0.78167,4.9,5,31.15,32.05,2.85,,Regular,0.4113,0.3719
385.0,283.5228,-266.3956,17.1272,2701,2469,0.22461,-0.80061,4.4,4.5,33.45,34.1,3.4,0.7,Regular,0.4122,0.374
390.0,1058.6372,-581.4704,477.1668,11213,6125,0.19113,-0.83555,3.6,3.7,37.55,38.4,3.45,0.6,Regular,0.4165,0.3768
395.0,319.8134,-189.5004,130.313,3803,2311,0.16148,-0.86927,2.94,3,41.85,42.7,3.45,0.49,Regular,0.4203,0.374
400.0,1852.69,-1005.5946,847.0954,24948,14472,0.13619,-0.89699,2.41,2.45,46.4,47.2,3.7,0.4,Regular,0.4247,0.3727
405.0,297.9466,-99.5927,198.3539,4575,1716,0.11464,-0.91913,1.98,2.01,50.8,51.95,3.6,0.31,Regular,0.4294,0.3729
410.0,285.2938,-160.8945,124.3993,5018,3444,0.09668,-0.94006,1.63,1.67,55.6,56.5,3.65,0.24,Regular,0.4348,0.3679
415.0,102.1095,-61.8811,40.2284,2061,1730,0.08195,-0.95838,1.35,1.39,60.35,61.3,3.85,0.19,Regular,0.4413,0.3593
420.0,697.8368,-70.5423,627.2945,16194,2467,0.06957,-0.96804,1.14,1.16,64.95,66.15,3.65,0.15,Regular,0.4478,0.3621
425.0,265.9179,-74.9373,190.9806,7079,3277,0.05957,-0.97526,0.96,0.99,69.75,71.3,3.6,0.11,Regular,0.4554,0.3658
430.0,148.1749,-60.4377,87.7372,4504,3512,0.05158,-0.98243,0.82,0.85,74.7,76.15,3.4,0.08,Regular,0.464,0.3638
435.0,71.1345,-18.3069,52.8276,2461,1652,0.04494,-0.98988,0.71,0.74,79.5,81.2,3.35,0.06,Regular,0.473,0.3508
440.0,214.1328,0.0,214.1328,8372,0,0.03965,-0.99698,0.63,0.65,84.5,86.05,3.3,0.05,Regular,0.483,0.3147
445.0,23.6237,0.0,23.6237,1043,0,0.03499,-0.9988,0.56,0.58,89.45,91.1,3.4,0.04,Regular,0.4925,0.3003
450.0,296.1319,0.0,296.1319,14660,0,0.03122,-0.99887,0.5,0.52,94.45,95.95,3.35,0.03,Regular,0.5028,0.3129
455.0,29.1339,0.0,29.1339,1606,0,0.02814,-0.99894,0.45,0.47,99.05,101.1,3.1,0.02,Regular,0.5136,0.3252
460.0,65.6036,0.0,65.6036,4021,0,0.02539,-0.99901,0.41,0.43,104.3,106.1,3.2,0.01,Regular,0.5239,0.3373
465.0,25.1627,0.0,25.1627,1700,0,0.02318,-0.99907,0.37,0.4,109.05,111.1,2.95,0,Regular,0.5351,0.3491
470.0,71.2279,0.0,71.2279,5285,0,0.02126,-0.99912,0.34,0.37,114.05,116.1,2.95,0,Regular,0.5463,0.3607
475.0,38.3001,0.0,38.3001,3118,0,0.0195,-0.99918,0.32,0.34,119.1,121.15,3,,Regular,0.5569,0.372
480.0,65.9315,0.0,65.9315,5846,0,0.01805,-0.99922,,,,,,,Regular,0.5682,0.3831
485.0,15.71,0.0,15.71,1515,0,0.01673,-0.99927,,,,,,,Regular,0.5791,0.394
490.0,47.0113,0.0,47.0113,4931,0,0.01548,-0.99931,,,,,,,Regular,0.5894,0.4047
495.0,35.858,0.0,35.858,4070,0,0.01442,-0.99935,,,,,,,Regular,0.6,0.4152
500.0,138.9423,0.0,138.9423,16949,0,0.01355,-0.99938,,,,,,,Regular,0.6112,0.4255
505.0,20.7813,0.0,20.7813,2718,0,0.01276,-0.99941,,,,,,,Regular,0.6222,0.4356
510.0,10.1331,0.0,10.1331,1421,0,0.01201,-0.99945,,,,,,,Regular,0.6327,0.4454
515.0,9.06,0.0,9.06,1363,0,0.01128,-0.99948,,,,,,,Regular,0.6428,0.4551
520.0,20.6111,0.0,20.6111,3323,0,0.0106,-0.9995,,,,,,,Regular,0.6526,0.4646
525.0,8.2129,0.0,8.2129,1409,0,0.01005,-0.99953,,,,,,,Regular,0.663,0.474
530.0,6.0916,0.0,6.0916,1110,0,0.00955,-0.99955,,,,,,,Regular,0.6733,0.4831
535.0,4.161,0.0,4.161,805,0,0.00907,-0.99958,,,,,,,Regular,0.6833,0.4921
540.0,10.6308,0.0,10.6308,2179,0,0.00863,-0.9996,,,,,,,Regular,0.6933,0.5009
545.0,0.0,0.0,0.0,0,0,0.00821,-0.99962,,,,,,,Regular,0.7029,0.5096
550.0,36.6103,0.0,36.6103,8419,0,0.00781,-0.99964,,,,,,,Regular,0.7123,0.5181
555.0,0.0,0.0,0.0,0,0,0.00742,-0.99966,,,,,,,Regular,0.7214,0.5264
560.0,4.4997,0.0,4.4997,1154,0,0.0071,-0.99967,,,,,,,Regular,0.7309,0.5346
565.0,0.1038,0.0,0.1038,28,0,0.0068,-0.99969,,,,,,,Regular,0.7403,0.5427
570.0,6.0946,0.0,6.0946,1731,0,0.00651,-0.99971,,,,,,,Regular,0.7494,0.5506
575.0,0.0,0.0,0.0,0,0,0.00622,-0.99972,,,,,,,Regular,0.7582,0.5583
580.0,6.384,0.0,6.384,2010,0,0.00594,-0.99974,,,,,,,Regular,0.7667,0.566
585.0,0.0,0.0,0.0,0,0,0.00568,-0.99975,,,,,,,Regular,0.7749,0.5735
590.0,0.0,0.0,0.0,0,0,0.00543,-0.99976,,,,,,,Regular,0.7831,0.5809
595.0,4.9809,0.0,4.9809,1827,0,0.00519,-0.99977,,,,,,,Regular,0.7911,0.5882
600.0,0.0,0.0,0.0,0,0,0.00495,-0.99978,,,,,,,Regular,0.7988,0.5954
605.0,0.0,0.0,0.0,0,0,0.00473,-0.99979,,,,,,,Regular,0.8065,0.6025
610.0,0.0,0.0,0.0,0,0,0.00453,-0.9998,,,,,,,Regular,0.8142,0.6094
615.0,0.0,0.0,0.0,0,0,0.0044,-0.99981,,,,,,,Regular,0.8229,0.6163
620.0,0.0,0.0,0.0,0,0,0.00427,-0.99982,,,,,,,Regular,0.8318,0.6232
625.0,0.0,0.0,0.0,0,0,0.00416,-0.99983,,,,,,,Regular,0.8405,0.6299
630.0,0.0,0.0,0.0,0,0,0.00404,-0.99984,,,,,,,Regular,0.849,0.6366
635.0,0.0,0.0,0.0,0,0,0.00393,-0.99984,,,,,,,Regular,0.8574,0.6432
640.0,0.0,0.0,0.0,0,0,0.00382,-0.99985,,,,,,,Regular,0.8656,0.6498
650.0,0.0,0.0,0.0,0,0,0.0036,-0.99986,,,,,,,Regular,0.8816,0.6627
660.0,0.0,0.0,0.0,0,0,0.0034,-0.99987,,,,,,,Regular,0.897,0.6752
670.0,0.0,0.0,0.0,0,0,0.0032,-0.99988,,,,,,,Regular,0.9117,0.6872
680.0,0.0,0.0,0.0,0,0,0.00301,-0.99989,,,,,,,Regular,0.9258,0.6989
690.0,0.0,0.0,0.0,0,0,0.00283,-0.9999,,,,,,,Regular,0.9392,0.7101
700.0,0.0,0.0,0.0,0,0,0.00265,-0.99991,,,,,,,Regular,0.952,0.7209
710.0,0.0,0.0,0.0,0,0,0.00247,-0.99992,,,,,,,Regular,0.9641,0.7313
720.0,0.0,0.0,0.0,0,0,0.0023,-0.99993,,,,,,,Regular,0.9755,0.7414
730.0,0.0,0.0,0.0,0,0,0.00214,-0.99993,,,,,,,Regular,0.9861,0.751
740.0,0.0,0.0,0.0,0,0,0.00198,-0.99994,,,,,,,Regular,0.996,0.7603
750.0,0.0,0.0,0.0,0,0,0.00182,-0.99994,,,,,,,Regular,1.005,0.7692
760.0,0.0,0.0,0.0,0,0,0.00166,-0.99995,,,,,,,Regular,1.0131,0.7777
770.0,0.0,0.0,0.0,0,0,0.00151,-0.99996,,,,,,,Regular,1.0203,0.7859
780.0,0.0,0.0,0.0,0,0,0.00136,-0.99996,,,,,,,Regular,1.0263,0.7938
790.0,0.0,0.0,0.0,0,0,0.00121,-0.99996,,,,,,,Regular,1.031,0.8014
800.0,0.0,0.0,0.0,0,0,0.00108,-0.99997,,,,,,,Regular,1.0358,0.8087
810.0,0.0,0.0,0.0,0,0,0.00102,-0.99997,,,,,,,Regular,1.0461,0.8156
820.0,0.0,0.0,0.0,0,0,0.00099,-0.99997,,,,,,,Regular,1.0577,0.822
830.0,0.0,0.0,0.0,0,0,0.00095,-0.99998,,,,,,,Regular,1.0691,0.828
840.0,0.0,0.0,0.0,0,0,0.00092,-0.99998,,,,,,,Regular,1.0802,0.8336
850.0,0.0,0.0,0.0,0,0,0.00089,-0.99998,,,,,,,Regular,1.091,0.8389
860.0,0.0,0.0,0.0,0,0,0.00085,-0.99998,,,,,,,Regular,1.1015,0.8436
870.0,0.0,0.0,0.0,0,0,0.00082,-0.99999,,,,,,,Regular,1.1117,0.8477
880.0,0.0,0.0,0.0,0,0,0.00079,-0.99999,,,,,,,Regular,1.1217,0.8513
890.0,0.0,0.0,0.0,0,0,0.00076,-0.99999,,,,,,,Regular,1.1314,0.8543
900.0,0.0,0.0,0.0,0,0,0.00073,-0.99999,,,,,,,Regular,1.1409,0.8565
910.0,0.0,0.0,0.0,0,0,0.00071,-0.99999,,,,,,,Regular,1.1501,0.858
920.0,0.0,0.0,0.0,0,0,0.00068,-0.99999,,,,,,,Regular,1.159,0.8587
930.0,0.0,0.0,0.0,0,0,0.00065,-1.0,,,,,,,Regular,1.1676,0.8585
940.0,0.0,0.0,0.0,0,0,0.00062,-1.0,,,,,,,Regular,1.176,0.8571
950.0,0.0,0.0,0.0,0,0,0.0006,-1.0,,,,,,,Regular,1.1841,0.8541
960.0,0.0,0.0,0.0,0,0,0.00057,-1.0,,,,,,,Regular,1.1919,0.8484
970.0,0.0,0.0,0.0,0,0,0.00055,-1.0,,,,,,,Regular,1.1994,0.8386
980.0,0.0,0.0,0.0,0,0,0.00052,-1.0,,,,,,,Regular,1.2066,0.8225
990.0,0.0,0.0,0.0,0,0,0.0005,-1.0,,,,,,,Regular,1.2135,0.78
