strike,callGEX_musd,putGEX_musd,netGEX_musd,callOI,putOI,callDelta,putDelta,callBid,callAsk,putBid,putAsk,pcsCredit_w5,ccsCredit_w5
400.0,0.0774,0.0,0.0774,11,0,0.99047,-0.00058,,,,,,
405.0,0.0,0.0,0.0,0,0,0.99019,-0.0006,,,,,,
410.0,0.0,0.0,0.0,0,0,0.98991,-0.00063,,,,,,
415.0,0.0,0.0,0.0,0,0,0.98961,-0.00066,,,,,,
420.0,0.0,0.0,0.0,0,0,0.9893,-0.00068,,,,,,
425.0,0.0,0.0,0.0,0,0,0.98899,-0.00071,,,,,,
430.0,0.0,0.0,0.0,0,0,0.98866,-0.00074,,,,,,
435.0,0.0,0.0,0.0,0,0,0.98833,-0.00077,,,,,,
440.0,0.0,0.0,0.0,0,0,0.98798,-0.0008,,,,,,
445.0,0.0,0.0,0.0,0,0,0.98763,-0.00084,,,,,,
450.0,0.0,0.0,0.0,0,0,0.98726,-0.00087,,,,,,
455.0,0.0,0.0,0.0,0,0,0.98688,-0.00093,,,,,,
460.0,0.0,0.0,0.0,0,0,0.98649,-0.001,,,,,,
465.0,0.0,0.0,0.0,0,0,0.98608,-0.00108,,,,,,
470.0,0.0,0.0,0.0,0,0,0.98566,-0.00116,,,,,,
475.0,0.0,0.0,0.0,0,0,0.98522,-0.00124,,,,,,
480.0,0.0,0.0,0.0,0,0,0.98477,-0.00134,,,,,,
485.0,0.0,0.0,0.0,0,0,0.9843,-0.00145,,,,,,
490.0,0.0,0.0,0.0,0,0,0.98381,-0.00158,,,,,,
495.0,0.0,0.0,0.0,0,0,0.9833,-0.00171,,,,,,
500.0,0.0,0.0,0.0,0,0,0.98277,-0.00184,,,,,,
505.0,0.0,0.0,0.0,0,0,0.98222,-0.00198,,,,,,
510.0,0.0,0.0,0.0,0,0,0.98165,-0.00213,,,,,,
515.0,0.0,0.0,0.0,0,0,0.98106,-0.00228,,,,,,
520.0,0.0,0.0,0.0,0,0,0.98043,-0.00244,,,,,,
525.0,0.0,0.0,0.0,0,0,0.97978,-0.00261,,,,,,
530.0,0.0,0.0,0.0,0,0,0.9791,-0.00278,,,,,,
535.0,0.0,0.0,0.0,0,0,0.97839,-0.00297,,,,,,
540.0,0.0,0.0,0.0,0,0,0.97765,-0.00316,,,,,,
545.0,0.0,0.0,0.0,0,0,0.97686,-0.00338,,,,,,
550.0,0.0,0.0,0.0,0,0,0.97604,-0.00367,,,,,,
555.0,0.0,0.0,0.0,0,0,0.97517,-0.00403,,,,,,
560.0,0.0,0.0,0.0,0,0,0.97426,-0.00443,,,,,,
565.0,0.0,0.0,0.0,0,0,0.97329,-0.00485,,,,,,
570.0,0.0,-1.5891,-1.5891,0,126,0.97227,-0.00529,,,,,,
575.0,0.0,-3.1501,-3.1501,0,224,0.97118,-0.00579,,,,,,
576.0,0.0,-0.6036,-0.6036,0,42,0.97096,-0.00589,,,,,,
577.0,0.0,0.0,0.0,0,0,0.97073,-0.006,,,,,,
578.0,0.0,0.0,0.0,0,0,0.9705,-0.0061,,,,,,
579.0,0.0,0.0,0.0,0,0,0.97027,-0.00621,,,,,,
580.0,0.0,-2.3985,-2.3985,0,153,0.97003,-0.00632,,,,,,
581.0,0.0,0.0,0.0,0,0,0.96979,-0.00643,,,,,,
582.0,0.0,0.0,0.0,0,0,0.96955,-0.00656,,,,,,
583.0,0.0,0.0,0.0,0,0,0.9693,-0.00671,,,,,,
584.0,0.0,0.0,0.0,0,0,0.96905,-0.00687,,,,,,
585.0,0.0,-2.6274,-2.6274,0,148,0.9688,-0.00704,,,,,,
586.0,0.0,-0.6924,-0.6924,0,38,0.96855,-0.0072,,,,,,
587.0,0.0,-1.8326,-1.8326,0,98,0.96829,-0.00736,,,,,,
588.0,0.0,0.0,0.0,0,0,0.96803,-0.00753,,,,,,
589.0,0.0,-0.6891,-0.6891,0,35,0.96776,-0.0077,,,,,,
590.0,0.0,-6.382,-6.382,0,316,0.96749,-0.00787,,,,,,
591.0,0.0,-1.678,-1.678,0,81,0.96722,-0.00805,,,,,,
592.0,0.0,0.0,0.0,0,0,0.96694,-0.00822,,,,,,
593.0,0.0,-1.0459,-1.0459,0,48,0.96666,-0.0084,,,,,,
594.0,0.0,-2.3461,-2.3461,0,105,0.96637,-0.00858,,,,,,
595.0,0.3313,-5.7048,-5.3735,6,249,0.96609,-0.00876,,,,,,
596.0,0.0,0.0,0.0,0,0,0.96579,-0.00895,,,,,,
597.0,0.0,0.0,0.0,0,0,0.9655,-0.00915,,,,,,
598.0,0.0,0.0,0.0,0,0,0.96519,-0.00937,,,,,,
599.0,0.0,0.0,0.0,0,0,0.96489,-0.0096,,,,,,
600.0,0.0,-19.1806,-19.1806,0,733,0.96458,-0.00983,,,,,,
601.0,0.0,-2.2051,-2.2051,0,82,0.96426,-0.01007,,,,,,
602.0,0.0,-3.2608,-3.2608,0,118,0.96394,-0.01031,,,,,,
603.0,0.0,0.0,0.0,0,0,0.96362,-0.01056,,,,,,
604.0,0.0,-1.4603,-1.4603,0,50,0.96329,-0.01082,,,,,,
605.0,0.0,-3.9938,-3.9938,0,133,0.96295,-0.01109,,,,,,
606.0,0.0,-1.42,-1.42,0,46,0.96261,-0.01136,,,,,,
607.0,0.0,-1.523,-1.523,0,48,0.96227,-0.01163,,,,,,
608.0,0.0,-2.1856,-2.1856,0,67,0.96192,-0.01191,,,,,,
609.0,0.0,-2.6197,-2.6197,0,78,0.96156,-0.01223,,,,,,
610.0,0.0,-9.6989,-9.6989,0,280,0.9612,-0.01258,,,,,,
611.0,0.0,-1.5006,-1.5006,0,42,0.96083,-0.01294,,,,,,
612.0,0.0,-1.6211,-1.6211,0,44,0.96046,-0.01331,,,,,,
613.0,0.0,0.0,0.0,0,0,0.96008,-0.01368,,,,,,
614.0,0.0,-2.1533,-2.1533,0,55,0.95969,-0.01406,,,,,,
615.0,0.0,-17.3485,-17.3485,0,430,0.95929,-0.01444,,,,,,
616.0,0.0,-3.9491,-3.9491,0,95,0.95889,-0.01483,,,,,,
617.0,0.0,-4.2395,-4.2395,0,99,0.95849,-0.01522,,,,,,
618.0,0.0,0.0,0.0,0,0,0.95807,-0.01562,,,,,,
619.0,0.0,-1.908,-1.908,0,42,0.95765,-0.01603,,,,,,
620.0,5.0661,-36.4537,-31.3876,61,779,0.95722,-0.01645,,,,,,
621.0,0.0,-2.5583,-2.5583,0,53,0.95678,-0.01691,,,,,,
622.0,0.0,-1.0967,-1.0967,0,22,0.95633,-0.01742,,,,,,
623.0,0.0,-6.9511,-6.9511,0,135,0.95588,-0.01794,,,,,,
624.0,0.0,-0.9043,-0.9043,0,17,0.95542,-0.01849,,,,,,
625.0,0.0,-73.0084,-73.0084,0,1328,0.95494,-0.01906,,,,,,
626.0,0.0,-19.9396,-19.9396,0,351,0.95446,-0.01964,,,,,,
627.0,0.0,-4.8123,-4.8123,0,82,0.95397,-0.02023,,,,,,
628.0,0.0,-12.426,-12.426,0,205,0.95342,-0.02083,,,,,,
629.0,0.0,-3.0047,-3.0047,0,48,0.95282,-0.02144,,,,,,
630.0,0.0,-89.509,-89.509,0,1384,0.95216,-0.02208,,,,,,
631.0,0.0,-7.1578,-7.1578,0,107,0.95116,-0.02278,,,,,,
632.0,0.0,-6.7176,-6.7176,0,97,0.94961,-0.02353,,,,,,
633.0,0.0,-2.8715,-2.8715,0,40,0.94791,-0.02436,,,,,,
634.0,0.0,-152.5441,-152.5441,0,2049,0.94618,-0.02523,,,,,,
635.0,1.5124,-45.8475,-44.3351,13,594,0.94444,-0.02612,,,,,,
636.0,0.0,-4.6395,-4.6395,0,58,0.94268,-0.02702,,,,,,
637.0,0.0,-7.9566,-7.9566,0,96,0.9409,-0.02794,,,,,,
638.0,0.0,-6.7001,-6.7001,0,78,0.9391,-0.0289,,,,,,
639.0,0.0,-26.6285,-26.6285,0,299,0.93729,-0.02991,,,,,,
640.0,6.3224,-57.0572,-50.7348,47,618,0.93545,-0.03095,,,,,,
641.0,0.0,-27.954,-27.954,0,292,0.93359,-0.03204,,,,,,
642.0,0.0,-24.8242,-24.8242,0,250,0.9317,-0.03317,,,,,,
643.0,0.0,-20.4926,-20.4926,0,199,0.92979,-0.03434,,,,,,
644.0,0.0,-5.1275,-5.1275,0,48,0.92785,-0.03556,,,,,,
645.0,1.0832,-60.9161,-59.8329,7,549,0.92589,-0.03691,,,,,,
646.0,0.0,-12.2208,-12.2208,0,106,0.9239,-0.03833,,,,,,
647.0,0.0,-6.9456,-6.9456,0,58,0.92188,-0.03977,,,,,,
648.0,0.0,-14.9244,-14.9244,0,120,0.91983,-0.04126,,,,,,
649.0,0.0,-12.7998,-12.7998,0,99,0.91774,-0.04288,,,,,,
650.0,9.0587,-260.0803,-251.0216,51,1933,0.91562,-0.04465,,,,,,
651.0,0.0,-22.1175,-22.1175,0,158,0.91347,-0.04648,,,,,,
652.0,0.0,-16.886,-16.886,0,116,0.91127,-0.04833,,,,,,
653.0,0.0,-17.2532,-17.2532,0,114,0.90904,-0.05023,,,,,,
654.0,0.0,-8.3438,-8.3438,0,53,0.90677,-0.05227,,,,,,
655.0,6.5255,-89.2837,-82.7582,32,545,0.90445,-0.05442,,,,,,
656.0,0.0,-32.0559,-32.0559,0,188,0.90209,-0.05669,,,,,,
657.0,2.803,-44.0413,-41.2383,13,248,0.89968,-0.05915,51.21,51.86,0.82,0.86,,4.16
658.0,0.0,-17.5752,-17.5752,0,95,0.89723,-0.06175,50.24,50.89,0.86,0.89,,4.3
659.0,0.0,-28.5114,-28.5114,0,148,0.89472,-0.06441,49.28,49.93,0.9,0.93,,4.22
660.0,16.1918,-437.6982,-421.5064,69,2183,0.89216,-0.06711,48.35,48.86,0.94,0.97,,4.15
661.0,0.0,-33.5896,-33.5896,0,161,0.88954,-0.06989,47.39,48.01,0.98,1.01,,4.23
662.0,0.0,-48.8759,-48.8759,0,225,0.88686,-0.0729,46.44,47.05,1.02,1.05,0.16,4.13
663.0,0.0,-27.1701,-27.1701,0,120,0.88409,-0.07627,45.49,45.94,1.06,1.1,0.17,4.12
664.0,0.0,-26.1968,-26.1968,0,111,0.88107,-0.07983,44.54,45.06,1.11,1.15,0.18,4.11
665.0,9.5032,-484.0497,-474.5465,35,1968,0.87767,-0.08356,43.6,44.2,1.16,1.2,0.19,4.1
666.0,0.0,-44.8345,-44.8345,0,175,0.87378,-0.08737,42.65,43.16,1.22,1.26,0.21,4.08
667.0,0.0,-57.0778,-57.0778,0,214,0.86945,-0.09123,41.71,42.31,1.27,1.32,0.22,4.06
668.0,6.2545,-37.7535,-31.499,21,136,0.86499,-0.09521,40.78,41.37,1.33,1.38,0.23,4.04
669.0,0.0,-109.2638,-109.2638,0,378,0.86045,-0.09957,39.84,40.43,1.4,1.44,0.25,4.04
670.0,32.9369,-1093.4104,-1060.4735,104,3631,0.85584,-0.1044,38.95,39.5,1.48,1.51,0.28,4.03
671.0,0.0,-32.2969,-32.2969,0,103,0.85115,-0.10938,38,38.57,1.53,1.59,0.27,4
672.0,0.0,-76.6891,-76.6891,0,235,0.84637,-0.11446,37.08,37.65,1.63,1.67,0.31,3.98
673.0,0.0,-50.5951,-50.5951,0,149,0.8415,-0.11982,36.17,36.74,1.69,1.75,0.31,3.97
674.0,0.0,-63.235,-63.235,0,179,0.83648,-0.12552,35.25,35.8,1.77,1.84,0.33,3.93
675.0,319.0326,-793.4993,-474.4667,864,2160,0.83116,-0.13138,34.35,34.92,1.88,1.93,0.37,3.92
676.0,14.4692,-101.5787,-87.1095,38,266,0.82556,-0.13745,33.45,34,1.96,2.02,0.37,3.94
677.0,0.0,-85.7201,-85.7201,0,216,0.81973,-0.14391,32.54,33.1,2.06,2.13,0.39,3.91
678.0,53.8393,-49.0589,4.7804,133,119,0.81358,-0.1508,31.66,32.2,2.17,2.23,0.42,3.86
679.0,26.2912,-80.4744,-54.1832,63,188,0.8072,-0.15795,30.78,31.32,2.28,2.35,0.44,3.83
680.0,384.2026,-3340.3588,-2956.1562,893,7519,0.80067,-0.16528,29.88,30.43,2.41,2.46,0.48,3.77
681.0,23.9514,-151.6116,-127.6602,54,329,0.79392,-0.17304,29.01,29.51,2.53,2.59,0.51,3.75
682.0,37.9324,-52.0715,-14.1391,83,109,0.78667,-0.18121,28.14,28.63,2.66,2.73,0.53,3.8
683.0,42.357,-47.52,-5.163,90,96,0.77896,-0.1896,27.28,27.8,2.8,2.87,0.57,3.74
684.0,0.0,-520.286,-520.286,0,1015,0.77106,-0.19836,26.43,26.95,2.94,3.02,0.59,3.65
685.0,52.8965,-615.8295,-562.933,106,1161,0.763,-0.20755,25.61,26.11,3.1,3.17,0.64,3.72
686.0,16.9575,-78.9758,-62.0183,33,144,0.75473,-0.21717,24.75,25.26,3.26,3.34,0.67,3.64
687.0,0.0,-189.2264,-189.2264,0,334,0.74602,-0.22724,23.97,24.34,3.43,3.51,0.7,3.65
688.0,0.0,-287.2301,-287.2301,0,491,0.73683,-0.23753,23.13,23.54,3.61,3.69,0.74,3.51
689.0,15.6529,-1178.6494,-1162.9965,28,1952,0.72735,-0.24807,22.31,22.78,3.8,3.89,0.78,3.46
690.0,146.9733,-1582.3769,-1435.4036,256,2542,0.71738,-0.25916,21.5,21.89,4.01,4.09,0.84,3.59
691.0,0.0,-167.2264,-167.2264,0,261,0.7069,-0.27088,20.74,21.11,4.22,4.3,0.88,3.56
692.0,55.5559,-69.1985,-13.6426,92,105,0.69617,-0.28291,19.96,20.32,4.43,4.52,0.92,3.5
693.0,61.3117,-121.231,-59.9193,99,179,0.68525,-0.29531,19.18,19.62,4.66,4.75,0.97,3.43
694.0,38.1058,-168.3189,-130.2131,60,242,0.67405,-0.30804,18.43,18.85,4.9,5,1.01,3.38
695.0,308.2871,-921.1222,-612.8351,474,1291,0.66234,-0.3212,17.74,17.91,5.17,5.26,1.08,3.37
696.0,148.1675,-150.5796,-2.4121,223,206,0.65001,-0.33481,17.01,17.18,5.43,5.52,1.13,3.3
697.0,56.3011,-128.6244,-72.3233,83,172,0.63736,-0.34886,16.28,16.46,5.71,5.8,1.19,3.23
698.0,57.4444,-223.8355,-166.3911,83,293,0.62441,-0.36334,15.58,15.75,6,6.1,1.25,3.16
699.0,107.2451,-109.9731,-2.728,152,141,0.61112,-0.37812,14.89,15.05,6.31,6.42,1.31,3.1
700.0,543.7914,-4743.9693,-4200.1779,757,5967,0.59745,-0.39332,14.22,14.37,6.67,6.73,1.41,3.04
701.0,167.1392,-168.2932,-1.154,229,208,0.58337,-0.40891,13.54,13.71,6.96,7.08,1.44,2.95
702.0,89.6653,-222.9211,-133.2558,121,271,0.56902,-0.42484,12.88,13.05,7.31,7.43,1.51,2.87
703.0,96.945,-1363.3195,-1266.3745,129,1633,0.55436,-0.44113,12.25,12.42,7.68,7.79,1.58,2.8
704.0,442.9212,-185.309,257.6122,582,219,0.53939,-0.45775,11.63,11.79,8.06,8.17,1.64,2.72
705.0,299.3048,-1208.3655,-909.0607,389,1412,0.52414,-0.4747,11.04,11.18,8.45,8.57,1.72,2.66
706.0,249.2835,-283.4959,-34.2124,321,328,0.50864,-0.49194,10.46,10.59,8.86,8.99,1.78,2.58
707.0,303.7451,-667.2683,-363.5232,388,765,0.49289,-0.50947,9.9,10.01,9.3,9.41,1.87,2.5
708.0,391.4141,-193.0723,198.3418,497,220,0.47695,-0.52725,9.34,9.45,9.74,9.87,1.95,2.41
709.0,360.7591,-226.2241,134.535,456,257,0.46083,-0.54516,8.8,8.91,10.21,10.33,2.04,2.32
710.0,544.1311,-2576.0011,-2031.87,686,2920,0.44455,-0.56332,8.28,8.38,10.7,10.82,2.13,2.24
711.0,917.9741,-357.5483,560.4258,1156,405,0.42813,-0.5817,7.78,7.88,11.2,11.33,2.21,2.15
712.0,456.8523,-370.4699,86.3824,576,421,0.41165,-0.60001,7.3,7.4,11.72,11.87,2.31,2.07
712.5,874.514,-141.3345,733.1795,1104,161,0.40339,-0.6092,7.06,7.16,11.99,12.14,,2.02
713.0,597.7998,-323.9035,273.8963,756,370,0.39511,-0.61842,6.83,6.93,12.27,12.42,2.4,1.97
714.0,231.0974,-295.4481,-64.3507,294,340,0.37867,-0.63688,6.38,6.48,12.83,12.99,2.5,1.88
715.0,3468.436,-2969.8085,498.6275,4447,3450,0.36224,-0.65543,5.95,6.04,13.4,13.57,2.58,1.79
716.0,323.8813,-509.2914,-185.4101,419,599,0.34569,-0.67389,5.54,5.63,14,14.18,2.67,1.7
717.0,494.9655,-584.8842,-89.9187,648,699,0.32937,-0.69206,5.15,5.23,14.62,14.8,2.75,1.62
717.5,50.0673,-57.2134,-7.1461,66,69,0.32128,-0.70109,4.96,5.04,14.94,15.09,2.8,1.57
718.0,192.8021,-1316.67,-1123.8679,256,1603,0.31317,-0.71017,4.77,4.86,15.26,15.43,2.84,1.52
719.0,264.4562,-103.8569,160.5993,357,129,0.29716,-0.72864,4.41,4.5,15.86,16.26,2.87,1.43
720.0,1174.1332,-3404.5097,-2230.3765,1616,4326,0.28149,-0.74731,4.07,4.16,16.55,16.83,2.98,1.34
721.0,767.5473,-216.3758,551.1715,1079,283,0.26586,-0.76477,3.76,3.84,17.23,17.47,3.05,1.27
722.0,367.3196,-370.5809,-3.2613,529,502,0.25066,-0.78033,3.46,3.53,17.9,18.36,3.1,1.19
722.5,34.9452,-296.3539,-261.4087,51,409,0.24329,-0.78791,3.32,3.39,18.3,18.72,3.21,1.15
723.0,526.4623,-249.5024,276.9599,779,351,0.23595,-0.79553,3.18,3.25,18.63,18.97,3.2,1.11
724.0,147.6291,-152.2604,-4.6313,225,223,0.22155,-0.81089,2.91,2.98,19.41,19.85,3.15,1.03
725.0,869.136,-732.6244,136.5116,1368,1121,0.20754,-0.82623,2.66,2.73,20.13,20.49,3.3,0.95
726.0,429.4783,0.0,429.4783,700,0,0.19393,-0.84054,2.43,2.49,20.91,21.37,3.44,0.88
727.0,170.1491,-129.4839,40.6652,288,219,0.18089,-0.8543,2.21,2.27,21.75,22.22,3.39,0.81
727.5,27.2205,-67.2775,-40.057,47,117,0.17447,-0.86115,2.11,2.17,22.14,22.59,3.42,0.78
728.0,479.9674,-69.8272,410.1402,846,125,0.16822,-0.86774,2.01,2.07,22.51,23.04,3.54,0.75
729.0,409.6289,-376.631,32.9979,754,717,0.15636,-0.88045,1.82,1.88,23.36,23.83,3.51,0.68
730.0,1519.6811,-3309.5476,-1789.8665,2929,6737,0.145,-0.89267,1.66,1.71,24.21,24.63,3.72,0.65
731.0,1937.8601,-285.5963,1652.2638,3922,625,0.13403,-0.90412,1.49,1.55,25.07,25.55,3.7,0.58
732.0,189.5662,-75.7163,113.8499,404,179,0.12362,-0.91463,1.35,1.4,25.91,26.44,3.69,0.54
732.5,257.1392,-211.559,45.5802,563,521,0.11856,-0.91964,1.28,1.33,26.39,26.88,3.8,0.51
733.0,1157.4609,-63.002,1094.4589,2605,162,0.11372,-0.92462,1.21,1.26,26.83,27.33,3.79,0.48
734.0,336.4757,0.0,336.4757,802,0,0.10438,-0.93405,1.09,1.14,27.73,28.24,3.9,0.44
735.0,10841.8873,-77.0463,10764.841,27459,239,0.09543,-0.94239,0.98,1.01,28.64,29.16,4.01,0.4
736.0,177.9468,0.0,177.9468,480,0,0.0872,-0.95028,0.87,0.91,29.56,30.08,4.01,0.36
737.0,143.2112,0.0,143.2112,413,0,0.07929,-0.95773,0.78,0.81,30.49,31.02,4.05,0.32
737.5,54.9515,-70.463,-15.5115,164,289,0.07559,-0.96078,0.73,0.77,30.95,31.49,4.07,0.3
738.0,111.7677,-26.6785,85.0892,345,116,0.07224,-0.96367,0.69,0.73,31.39,32.04,4.06,0.28
739.0,65.5616,0.0,65.5616,217,0,0.0658,-0.96953,0.62,0.65,32.37,32.97,4.13,0.26
740.0,586.3605,-30.2591,556.1014,2092,177,0.05946,-0.97558,0.55,0.58,33.29,33.95,4.13,0.23
741.0,149.4307,0.0,149.4307,576,0,0.05367,-0.98195,0.49,0.51,34.26,34.9,4.18,0.2
742.0,75.0119,0.0,75.0119,312,0,0.04871,-0.98891,0.43,0.46,34.71,36.29,3.69,0.17
742.5,23.1124,0.0,23.1124,100,0,0.04632,-0.99264,0.41,0.43,35.17,36.8,3.68,
743.0,71.4183,0.0,71.4183,322,0,0.04393,-0.99581,0.38,0.41,35.67,37.28,3.63,0.15
744.0,37.2534,0.0,37.2534,183,0,0.03936,-0.99862,0.34,0.36,36.68,38.28,3.71,0.14
745.0,226.2467,0.0,226.2467,1207,0,0.03555,-0.999,0.3,0.32,37.68,39.22,3.73,0.12
746.0,57.2268,0.0,57.2268,331,0,0.03226,-0.99903,0.26,0.29,38.67,40.27,3.77,0.1
747.0,46.0214,0.0,46.0214,290,0,0.02908,-0.99906,0.23,0.26,39.67,41.29,3.38,0.09
748.0,179.7052,0.0,179.7052,1239,0,0.02607,-0.99909,0.2,0.23,40.68,42.22,3.4,0.07
749.0,48.7363,0.0,48.7363,367,0,0.02348,-0.99911,0.18,0.2,41.68,43.22,3.4,0.06
750.0,543.4504,0.0,543.4504,4495,0,0.02098,-0.99914,0.16,0.18,42.7,44.19,3.48,0.06
751.0,375.6339,0.0,375.6339,3441,0,0.01855,-0.99916,0.14,0.16,43.68,45.22,3.41,
752.0,50.7148,0.0,50.7148,514,0,0.01644,-0.99919,0.12,0.14,44.68,46.28,3.39,
753.0,29.9587,0.0,29.9587,334,0,0.01473,-0.99921,0.1,0.13,45.68,47.29,3.46,
754.0,19.6715,0.0,19.6715,242,0,0.01314,-0.99923,0.09,0.12,46.65,48.27,3.43,
755.0,110.0917,0.0,110.0917,1486,0,0.01183,-0.99925,0.08,0.1,47.65,49.22,3.46,
