simbolo,vencimiento,lado,ventana,fecha_medicion,dte,spot,atm_iv,em,w,banda_lo,banda_hi,pct_lado,xmed,xvalle,argmax,borde,delta_borde,k_delta_max,ata,spot_venc,cerro_mas_alla,toco
SPY,2013-02-16,PUT,2013-2017,2013-01-02,45,146.06,0.13195,6.767,1.692,140.31,142.0,23.82,927.464,,145.0,140.31,0.2257,139.5,delta,152.11,0,0
SPY,2013-02-16,CALL,2013-2017,2013-01-02,45,146.06,0.13195,6.767,1.692,149.0,150.69,64.97,343.607,,150.0,150.69,0.2226,151.15,delta,152.11,1,1
SPY,2013-03-16,PUT,2013-2017,2013-01-30,45,150.07,0.13194,6.953,1.738,144.26,146.0,21.38,3052.847,,145.0,144.26,0.2335,142.95,delta,155.83,0,0
SPY,2013-03-16,CALL,2013-2017,2013-01-30,45,150.07,0.13194,6.953,1.738,155.0,156.74,46.63,1174.125,,155.0,156.74,0.119,154.83,banda,155.83,0,1
SPY,2013-04-20,PUT,2013-2017,2013-03-06,45,154.5,0.11244,6.099,1.525,149.48,151.0,23.58,1455.614,,150.0,149.48,0.2576,147.95,delta,155.48,0,0
SPY,2013-04-20,CALL,2013-2017,2013-03-06,45,154.5,0.11244,6.099,1.525,158.0,159.52,44.89,976.058,,159.0,159.52,0.1426,158.46,banda,155.48,0,1
SPY,2013-05-18,PUT,2013-2017,2013-04-03,45,155.23,0.12707,6.926,1.731,151.27,153.0,25.98,1386.504,,153.0,151.27,0.2922,148.26,delta,166.94,0,0
SPY,2013-05-18,CALL,2013-2017,2013-04-03,45,155.23,0.12707,6.926,1.731,157.0,158.73,32.67,345.111,,163.0,158.73,0.2805,160.15,delta,166.94,1,1
SPY,2013-06-22,PUT,2013-2017,2013-05-08,45,163.34,0.12219,7.008,1.752,154.25,156.0,22.13,1894.923,,155.0,154.25,0.1453,156.42,banda,159.07,0,0
SPY,2013-06-22,CALL,2013-2017,2013-05-08,45,163.34,0.12219,7.008,1.752,165.0,166.75,74.0,467.939,,166.0,166.75,0.2912,168.0,delta,159.07,0,1
SPY,2013-07-20,PUT,2013-2017,2013-06-05,45,161.27,0.15634,8.853,2.213,156.79,159.0,34.66,101.988,,158.0,156.79,0.3184,152.39,delta,169.17,0,1
SPY,2013-07-20,CALL,2013-2017,2013-06-05,45,161.27,0.15634,8.853,2.213,163.0,165.21,42.72,10.399,,165.0,165.21,0.3067,167.39,delta,169.17,1,1
SPY,2013-08-17,PUT,2013-2017,2013-07-03,45,161.28,0.15634,8.853,2.213,154.79,157.0,37.11,189.435,0.355,155.0,154.79,0.2395,153.21,delta,165.83,0,0
SPY,2013-08-17,CALL,2013-2017,2013-07-03,45,161.28,0.15634,8.853,2.213,165.0,167.21,42.88,8.724,,166.0,167.21,0.2258,167.9,delta,165.83,0,1
SPY,2013-09-21,PUT,2013-2017,2013-08-07,45,169.18,0.12707,7.548,1.887,164.11,166.0,24.62,6649.886,,165.0,164.11,0.273,162.02,delta,170.72,0,1
SPY,2013-09-21,CALL,2013-2017,2013-08-07,45,169.18,0.12707,7.548,1.887,171.0,172.89,34.58,42.826,,175.0,172.89,0.2812,174.35,delta,170.72,0,1
SPY,2013-10-19,PUT,2013-2017,2013-09-04,45,165.75,0.14659,8.531,2.133,159.87,162.0,36.85,267.099,0.389,160.0,159.87,0.2734,157.07,delta,174.39,0,0
SPY,2013-10-19,CALL,2013-2017,2013-09-04,45,165.75,0.14659,8.531,2.133,169.0,171.13,58.54,81.093,,170.0,171.13,0.2159,171.52,delta,174.39,1,1
SPY,2013-11-16,PUT,2013-2017,2013-10-02,45,169.18,0.14658,8.707,2.177,164.82,167.0,34.86,204.937,0.75,165.0,164.82,0.3207,160.49,delta,180.05,0,1
SPY,2013-11-16,CALL,2013-2017,2013-10-02,45,169.18,0.14658,8.707,2.177,172.0,174.18,49.65,43.799,,172.0,174.18,0.253,175.05,delta,180.05,1,1
SPY,2013-12-21,PUT,2013-2017,2013-11-06,45,177.17,0.12219,7.602,1.9,169.1,171.0,21.31,1220.292,,170.0,169.1,0.1828,169.66,banda,181.56,0,0
SPY,2013-12-21,CALL,2013-2017,2013-11-06,45,177.17,0.12219,7.602,1.9,179.0,180.9,37.93,159.672,,180.0,180.9,0.2889,182.23,delta,181.56,1,1
SPY,2014-01-18,PUT,2013-2017,2013-12-04,45,179.73,0.11732,7.403,1.851,174.15,176.0,20.37,360.84,,175.0,174.15,0.2672,171.65,delta,183.64,0,0
SPY,2014-01-18,CALL,2013-2017,2013-12-04,45,179.73,0.11732,7.403,1.851,182.0,183.85,35.39,45.169,,183.0,183.85,0.2502,184.86,delta,183.64,0,1
SPY,2014-02-22,PUT,2013-2017,2014-01-08,45,183.52,0.10756,6.931,1.733,179.27,181.0,32.62,1496.675,,180.0,179.27,0.2846,176.41,delta,183.89,0,1
SPY,2014-02-22,CALL,2013-2017,2014-01-08,45,183.52,0.10756,6.931,1.733,187.0,188.73,38.27,33.571,,187.0,188.73,0.2073,188.84,delta,183.89,0,0
SPY,2014-03-22,PUT,2013-2017,2014-02-05,45,175.17,0.17097,10.516,2.629,169.37,172.0,33.68,401.63,,170.0,169.37,0.3033,164.65,delta,186.2,0,0
SPY,2014-03-22,CALL,2013-2017,2014-02-05,45,175.17,0.17097,10.516,2.629,178.0,180.63,29.65,6.939,0.547,180.0,180.63,0.2677,182.36,delta,186.2,1,1
SPY,2014-04-19,PUT,2013-2017,2014-03-05,45,187.75,0.11732,7.734,1.933,179.07,181.0,21.03,862.81,,180.0,179.07,0.1923,179.6,banda,186.39,0,0
SPY,2014-04-19,CALL,2013-2017,2014-03-05,45,187.75,0.11732,7.734,1.933,189.0,190.93,67.43,18.832,,190.0,190.93,0.3101,193.06,delta,186.39,0,0
SPY,2014-05-17,PUT,2013-2017,2014-04-02,45,188.88,0.11244,7.457,1.864,184.14,186.0,19.7,808.517,,180.0,184.14,0.2829,181.37,delta,188.05,0,1
SPY,2014-05-17,CALL,2013-2017,2014-04-02,45,188.88,0.11244,7.457,1.864,190.0,191.86,36.62,11.668,,190.0,191.86,0.3397,194.28,delta,188.05,0,0
SPY,2014-06-21,PUT,2013-2017,2014-05-07,45,187.88,0.12219,8.061,2.015,182.98,185.0,28.42,3224.461,,180.0,182.98,0.2888,179.85,delta,195.94,0,0
SPY,2014-06-21,CALL,2013-2017,2014-05-07,45,187.88,0.12219,8.061,2.015,193.0,195.02,51.61,10.167,,194.0,195.02,0.1308,193.51,banda,195.94,1,1
