simbolo,vencimiento,lado,ventana,fecha_medicion,dte,spot,atm_iv,em,w,banda_lo,banda_hi,pct_lado,xmed,xvalle,argmax,borde,delta_borde,k_delta_max,ata,spot_venc,cerro_mas_alla,toco
SPY,2013-02-16,PUT,2013-2017,2013-01-02,45,146.06,0.13195,6.767,2.03,139.97,142.0,33.27,855.325,,145.0,139.97,0.2165,139.5,delta,152.11,0,0
SPY,2013-02-16,CALL,2013-2017,2013-01-02,45,146.06,0.13195,6.767,2.03,148.0,150.03,86.24,310.528,,150.0,150.03,0.2566,151.15,delta,152.11,1,1
SPY,2013-03-16,PUT,2013-2017,2013-01-30,45,150.07,0.13194,6.953,2.086,143.91,146.0,29.71,3272.96,,145.0,143.91,0.2216,142.95,delta,155.83,0,0
SPY,2013-03-16,CALL,2013-2017,2013-01-30,45,150.07,0.13194,6.953,2.086,154.0,156.09,54.84,1148.96,,155.0,156.09,0.1431,154.83,banda,155.83,0,1
SPY,2013-04-20,PUT,2013-2017,2013-03-06,45,154.5,0.11244,6.099,1.83,149.17,151.0,23.58,1455.614,,150.0,149.17,0.2453,147.95,delta,155.48,0,0
SPY,2013-04-20,CALL,2013-2017,2013-03-06,45,154.5,0.11244,6.099,1.83,158.0,159.83,44.89,976.058,,159.0,159.83,0.1278,158.46,banda,155.48,0,0
SPY,2013-05-18,PUT,2013-2017,2013-04-03,45,155.23,0.12707,6.926,2.078,150.92,153.0,35.57,1460.921,,153.0,150.92,0.2774,148.26,delta,166.94,0,0
SPY,2013-05-18,CALL,2013-2017,2013-04-03,45,155.23,0.12707,6.926,2.078,157.0,159.08,45.5,226.823,,163.0,159.08,0.2561,160.15,delta,166.94,1,1
SPY,2013-06-22,PUT,2013-2017,2013-05-08,45,163.34,0.12219,7.008,2.102,154.9,157.0,27.24,1398.994,,155.0,154.9,0.1538,156.42,banda,159.07,0,0
SPY,2013-06-22,CALL,2013-2017,2013-05-08,45,163.34,0.12219,7.008,2.102,165.0,167.1,82.01,118.334,,166.0,167.1,0.2689,168.0,delta,159.07,0,1
SPY,2013-07-20,PUT,2013-2017,2013-06-05,45,161.27,0.15634,8.853,2.656,156.34,159.0,34.66,101.988,,158.0,156.34,0.3066,152.39,delta,169.17,0,1
SPY,2013-07-20,CALL,2013-2017,2013-06-05,45,161.27,0.15634,8.853,2.656,163.0,165.66,42.72,10.399,,165.0,165.66,0.2793,167.39,delta,169.17,1,1
SPY,2013-08-17,PUT,2013-2017,2013-07-03,45,161.28,0.15634,8.853,2.656,154.34,157.0,37.11,189.435,,155.0,154.34,0.2303,153.21,delta,165.83,0,0
SPY,2013-08-17,CALL,2013-2017,2013-07-03,45,161.28,0.15634,8.853,2.656,165.0,167.66,42.88,8.724,,166.0,167.66,0.2091,167.9,delta,165.83,0,1
SPY,2013-09-21,PUT,2013-2017,2013-08-07,45,169.18,0.12707,7.548,2.265,164.74,167.0,35.56,5317.49,0.444,165.0,164.74,0.2906,162.02,delta,170.72,0,1
